trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1553,2,4,5202.4,14967.6,1,0,0
642,0,3,4546.9,26081.0,1,0,0
2022,0,3,9414.2,55589.4,1,0,0
2006,0,2,6084.7,23143.7,2,5,84009544
1959,2,1,1283.0,14956.2,1,9,75440745
637,0,0,260.5,54411.1,7,0,0
2111,1,4,4296.2,57513.2,1,0,0
1915,2,4,6397.4,24638.2,1,0,0
900,2,1,4500.3,25240.1,5,9,46850929
1847,2,4,4462.5,24771.6,1,0,0
1485,2,1,4938.0,23110.5,5,3,41058525
984,2,1,2087.0,22412.3,0,7,14870420
1185,0,0,64.1,16102.1,7,0,0
770,0,0,115.2,29297.6,7,0,0
515,0,2,5955.8,25640.3,2,12,35719722
2062,0,0,340.5,67829.0,7,0,0
1703,2,4,22348.1,58935.3,1,0,0
408,2,4,11871.4,54788.0,1,0,0
2129,2,4,14.6,40978.8,6,0,0
1683,0,2,6602.2,38513.2,2,9,74942841
1808,2,1,2000.0,14858.8,1,7,78292555
1580,2,4,14.6,38014.9,6,0,0
2104,0,0,317.6,61865.4,7,0,0
1919,2,4,2107.7,42588.9,1,0,0
1825,0,0,148.2,39974.3,7,0,0
1638,0,2,34656.0,65653.5,1,11,52041572
1061,0,3,2659.3,17453.7,1,0,0
1563,2,4,14.6,72274.0,6,0,0
1978,2,1,2051.6,22305.1,1,11,35154828
2137,2,1,2500.0,43696.1,5,3,89454847
1817,2,4,520.0,17641.0,1,0,0
1892,2,1,2283.6,32897.2,5,8,67348376
1476,2,4,8992.7,29337.4,5,0,0
1641,2,4,12665.1,38887.2,1,0,0
351,0,0,130.1,25932.3,7,0,0
753,2,4,7520.6,22717.4,1,0,0
1487,2,1,2298.5,14479.8,5,4,88933719
1033,2,4,14.6,26529.0,6,0,0
1867,2,1,6233.8,61680.8,5,6,35088094
1959,2,1,600.0,25418.1,0,1,84070959
955,0,3,25351.5,87477.8,1,0,0
2043,2,4,8673.9,-3662.6,1,0,0
1466,2,4,405.9,17339.7,1,0,0
2160,0,3,38112.8,126042.3,1,0,0
1682,2,1,3012.4,11192.0,5,8,46782888
