trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
985,0,3,6873.3,26157.5,1,0,0
824,0,0,103.1,25377.2,7,0,0
1992,2,1,75.1,23626.7,0,11,21643391
1844,2,4,4059.9,47859.1,1,0,0
753,0,0,302.2,90529.4,7,0,0
1867,0,0,245.2,57689.5,7,0,0
1501,2,4,14.6,23288.4,6,0,0
641,0,0,125.2,30533.8,7,0,0
1980,2,4,35826.5,72831.9,1,0,0
1274,0,3,24439.7,53024.6,1,0,0
1139,2,1,4431.3,58296.6,5,5,58307825
1725,0,3,22206.9,61540.6,1,0,0
1102,2,4,14.6,72766.1,6,0,0
1397,2,4,14.6,35659.1,6,0,0
1922,0,2,43430.6,83532.1,1,3,30948923
1685,2,4,14.6,33315.7,6,0,0
1983,0,0,73.4,19219.3,7,0,0
1519,2,4,3450.2,24627.5,1,0,0
1125,2,4,3493.0,32308.7,1,0,0
1794,2,1,916.2,110575.6,5,6,61631968
316,2,4,63608.6,56399.7,1,0,0
452,0,0,117.9,18053.5,7,0,0
2129,1,4,4794.9,93370.1,1,0,0
1641,2,1,6320.1,38781.4,8,8,45098542
1055,2,4,2300.5,25726.4,1,0,0
1733,2,4,14.6,52790.1,6,0,0
2136,0,0,151.5,43320.2,7,0,0
1611,2,1,546.5,52355.9,5,5,85497468
1519,1,4,4872.0,50534.1,1,0,0
1037,0,3,3929.8,24660.1,1,0,0
1975,2,4,14.6,38747.2,6,0,0
1816,0,0,210.6,51795.4,7,0,0
1226,2,4,26407.8,89471.6,1,0,0
397,0,0,263.9,79492.7,7,0,0
1550,0,3,9410.3,35871.0,1,0,0
1931,2,1,9304.4,31622.6,5,1,52767791
1494,2,4,14470.3,18258.3,1,0,0
1946,2,4,9596.6,14583.7,1,0,0
1703,2,4,2260.0,20908.9,1,0,0
452,0,0,155.8,37055.9,7,0,0
1121,2,4,31336.0,81422.9,1,0,0
1832,2,1,3893.3,13936.4,5,10,55782205
1148,2,1,1984.5,15300.6,1,11,33573084
919,0,0,161.3,37332.7,7,0,0
1703,2,1,2070.7,20640.8,1,8,15388255
1956,0,2,3087.8,15625.5,1,9,36331758
1884,2,4,1259.4,19315.3,1,0,0
765,0,0,195.8,50191.7,7,0,0
822,0,3,4399.1,20411.0,1,0,0
2068,0,2,5567.8,30280.2,2,4,15037065
972,2,1,130.9,23484.6,0,11,68454968
404,2,4,2989.5,24776.3,1,0,0
1794,2,4,14.6,11891.2,6,0,0
2033,2,1,2334.6,44158.9,5,5,74213347
1246,2,4,97.9,55252.0,6,0,0
1919,2,4,14.6,40087.3,6,0,0
1499,2,4,1085.6,22371.1,1,0,0
1353,2,4,1682.0,20700.3,1,0,0
1954,0,0,198.1,48894.9,7,0,0
1559,2,4,11977.6,38147.7,1,0,0
963,2,1,66.4,30844.6,3,8,96054075
1338,2,4,5297.3,11956.4,1,0,0
1440,2,4,3180.5,34703.5,1,0,0
1590,0,0,100.0,20138.2,7,0,0
377,2,4,6078.4,30095.8,1,0,0
1784,0,0,71.8,19395.8,7,0,0
1427,0,3,11098.3,10862.9,1,0,0
567,2,1,3097.5,30149.1,5,1,86369940
813,0,2,3484.9,27997.0,1,11,2710057
1287,0,2,3101.7,27993.7,1,8,80646801
2054,2,1,1670.4,18239.8,5,10,82754262
2129,2,1,8596.8,37246.9,5,7,21800083
1806,2,1,1166.7,26271.6,1,7,47961773
1308,0,0,171.7,34137.8,7,0,0
1452,2,4,14.6,36430.2,6,0,0
1307,2,1,8388.5,7532.5,5,11,68851366
2103,0,3,21049.3,45164.5,1,0,0
1288,2,4,26674.9,41624.8,1,0,0
1141,2,4,14.6,32194.6,6,0,0
2109,2,4,14.6,23701.5,6,0,0
1366,2,4,14.6,27634.1,6,0,0
935,2,4,4206.1,35703.1,5,0,0
1620,2,1,5312.5,38971.2,5,4,41934103
