trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
26090,86,1349,0,2,3243.0,22776.8,1,10,93896942
595176,2026,2142,0,3,13696.0,62595.1,1,0,0
207547,704,790,2,4,600.0,27417.9,1,0,0
1068010,3649,1067,2,4,3360.0,30421.9,1,0,0
257936,884,1861,2,1,2259.0,21898.6,1,1,15814888
3537318,207,303,0,0,73.9,23659.2,7,0,0
2810373,9307,820,2,4,2100.0,57441.6,1,0,0
641795,2190,1460,2,4,7200.0,38743.0,1,0,0
2825071,9353,2098,2,4,14.6,72688.9,6,0,0
261985,897,832,2,1,6676.0,13101.0,0,1,1613778
6606,26,490,2,1,10387.0,23159.9,5,3,12891853
2847330,9422,1808,2,4,46700.0,73509.8,1,0,0
419292,1422,431,0,2,5842.0,21684.2,2,6,60820615
1044317,3571,523,2,1,3224.0,22360.6,5,10,3029764
3608745,2380,1856,0,0,118.5,21048.1,7,0,0
3602549,2190,1307,0,0,108.4,28454.4,7,0,0
62409,207,2111,2,1,10.0,21714.3,0,4,4786676
1064143,3636,711,2,1,1731.0,33512.2,0,5,68396133
5236,22,2049,0,3,16873.0,36520.5,1,0,0
3448665,3074,698,0,0,166.8,96449.8,7,0,0
3613911,2525,1491,0,0,86.3,15945.4,7,0,0
822750,2802,668,2,4,14.6,28335.8,6,0,0
705568,2417,1320,2,1,1319.0,21148.7,5,13,83809387
1122524,3834,1246,2,4,14.6,26542.5,6,0,0
605997,2062,1730,2,4,26000.0,55828.5,1,0,0
3465221,3290,1764,0,0,322.8,66575.0,7,0,0
3603129,2213,545,0,0,148.4,31105.8,7,0,0
157344,526,1808,2,4,4640.0,50782.8,1,0,0
644444,2200,1794,2,4,14.6,32237.7,6,0,0
792062,2700,1593,2,1,1123.0,25371.2,3,9,52413690
121980,409,1519,2,4,14.6,25804.1,6,0,0
664256,2268,954,2,4,4400.0,40971.1,1,0,0
551678,1878,1764,2,4,30.0,10924.3,6,0,0
1302162,4447,1479,2,4,5400.0,32156.7,1,0,0
85655,287,758,2,4,1040.0,14651.8,1,0,0
907116,3091,744,2,4,7900.0,35702.2,1,0,0
1203046,4116,1945,2,4,14.6,91370.2,6,0,0
224536,764,211,2,4,14.6,27277.9,6,0,0
132502,444,1954,2,4,1300.0,40061.7,1,0,0
65509,218,2118,1,4,11369.0,75578.4,1,0,0
3593210,1900,1703,0,0,193.4,42279.3,7,0,0
645269,2203,1253,0,2,6686.0,32858.4,2,3,39426541
33163,107,1771,0,3,6832.0,46493.9,1,0,0
696434,2381,1951,0,3,17578.0,52527.7,1,0,0
367905,1250,1580,2,4,14.6,20986.4,6,0,0
380164,1292,1893,2,1,1653.0,48826.5,5,7,61391454
289141,991,890,2,1,6748.0,46628.0,5,7,2995044
682686,2330,2049,2,1,1662.0,18914.3,5,9,64704280
585916,1994,1106,2,1,43.0,29186.8,0,3,9145510
2697764,8926,1929,2,1,1142.0,34486.4,3,7,94917398
