trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1535,2,4,14.6,43674.3,6,0,0
1518,0,2,6061.5,16904.6,2,5,17600753
2173,2,1,2300.0,73308.4,0,2,81697824
1956,2,1,124.2,60015.4,0,7,81479001
2009,2,4,7661.7,56756.4,1,0,0
1519,2,4,14.6,12792.1,6,0,0
1764,0,0,66.6,16699.4,7,0,0
1033,2,1,2400.0,15973.5,0,4,6511383
1981,0,2,3621.7,24638.5,1,7,19284411
1829,2,5,875.7,58012.0,1,0,0
1215,0,0,82.1,20031.1,7,0,0
2159,2,4,11741.6,52018.5,1,0,0
2006,2,1,400.0,34035.3,3,10,10847400
1585,2,1,3393.2,11244.1,5,13,7263598
1156,2,4,892.3,49361.0,1,0,0
607,2,4,14.6,16272.5,6,0,0
880,2,4,52763.1,20266.8,1,0,0
1703,2,1,3419.7,52464.4,5,10,61355193
2037,0,3,741.9,54549.4,1,0,0
852,2,4,8564.3,55861.7,1,0,0
1284,2,1,1500.0,43918.2,5,3,76054654
2172,2,1,800.0,81245.6,5,4,73099917
2037,0,0,113.1,30357.4,7,0,0
1927,0,0,126.5,23749.6,7,0,0
1468,2,4,35747.3,57595.9,1,0,0
806,2,1,3241.8,62636.6,8,10,88013385
1945,0,0,96.3,51104.6,7,0,0
1809,0,0,81.4,16774.9,7,0,0
1976,2,1,6448.8,7324.6,5,6,69663649
210,0,3,9053.4,11038.4,1,0,0
362,0,2,4801.2,18582.3,2,6,42592468
1714,2,4,14.6,24041.0,6,0,0
1411,0,0,100.0,24242.5,7,0,0
585,2,1,7626.1,25615.9,5,9,8738863
2010,2,4,100.0,29402.5,6,0,0
1491,2,1,4049.6,63304.5,5,13,53056280
444,2,1,268.1,69547.5,0,5,70261846
1928,2,4,46603.7,72227.4,1,0,0
2048,2,4,28960.0,70936.6,1,0,0
1595,0,0,297.8,75023.8,7,0,0
1976,2,4,56660.2,42886.4,1,0,0
797,0,0,121.1,28417.2,7,0,0
1063,2,1,6626.1,18563.9,5,11,24991652
1185,0,3,11796.7,37702.7,1,0,0
1825,2,4,2304.7,29666.0,1,0,0
1640,2,1,400.0,25672.3,0,13,4548555
2043,2,4,7766.7,-16815.4,1,0,0
847,2,4,2501.2,22823.2,1,0,0
2075,2,1,2100.0,35100.2,5,5,65472418
730,2,1,129.3,19434.3,0,2,75539270
1621,2,4,10314.7,41172.0,1,0,0
1641,0,3,13826.1,63367.2,1,0,0
2159,2,4,14.6,87560.9,6,0,0
1856,0,2,4654.1,20072.4,2,2,13250308
1063,0,0,180.4,45646.7,7,0,0
793,2,4,14.6,27384.3,6,0,0
1733,0,2,5826.9,31718.8,2,10,99200915
775,2,4,1802.2,36242.0,1,0,0
1185,2,4,900.0,27956.6,1,0,0
1355,0,3,23242.7,58368.8,1,0,0
1910,2,4,31154.9,108883.2,1,0,0
1338,2,1,801.0,15666.8,5,13,27717244
2006,0,3,32467.7,74010.0,1,0,0
2049,2,4,14.6,23470.9,6,0,0
1375,0,3,19943.1,95359.5,1,0,0
2107,2,1,3753.8,48376.4,0,4,91415407
1672,0,3,4227.7,28435.3,1,0,0
374,2,4,1400.0,22946.6,1,0,0
1764,2,4,1750.1,24072.8,1,0,0
1378,2,4,14.6,28213.9,6,0,0
668,2,4,14.6,36557.3,6,0,0
1945,2,1,3002.0,29295.2,5,5,65917055
1777,0,2,15684.3,32302.8,1,12,67896529
1519,0,0,123.9,31895.2,7,0,0
2109,2,4,14.6,9948.4,6,0,0
1133,0,3,18704.3,37636.4,1,0,0
1983,2,4,14.6,15349.8,6,0,0
1861,2,4,12504.4,15425.0,1,0,0
1915,2,4,4025.4,21478.9,1,0,0
1157,2,4,14.6,27551.3,6,0,0
1497,0,0,69.8,16732.1,7,0,0
1349,2,4,14.6,22682.9,6,0,0
760,2,4,6536.0,27036.9,1,0,0
1433,2,4,5789.9,34332.3,1,0,0
1474,2,1,401.7,62019.7,0,3,65373990
1829,2,4,1300.0,16653.1,1,0,0
1548,0,3,13117.9,48438.9,1,0,0
1794,2,1,1753.6,29878.4,5,2,25259137
1723,2,1,11192.7,52593.8,5,5,37186228
441,2,1,1030.7,48201.4,0,4,75153250
1519,2,4,15074.3,45598.9,1,0,0
1926,0,3,21652.1,56011.5,1,0,0
1847,2,4,874.6,15919.1,1,0,0
2044,2,1,451.6,38464.4,5,12,92106632
1794,0,0,183.9,48940.8,7,0,0
2037,2,4,14998.0,40067.7,1,0,0
2080,2,4,3597.0,-4332.0,1,0,0
2073,0,3,9203.3,46780.3,1,0,0
1648,0,3,17229.7,49060.5,1,0,0
1924,2,1,3329.9,15535.2,5,8,84255741
1863,1,4,6594.7,46347.9,1,0,0
1182,2,4,2117.4,31934.7,1,0,0
1955,2,4,14.6,12084.8,6,0,0
2159,0,3,20501.7,74896.6,1,0,0
1441,0,2,6300.0,39062.3,2,7,52025065
1923,2,1,4121.9,90648.3,0,11,17155925
1186,2,4,2146.7,61442.4,1,0,0
1011,2,1,1836.3,56913.5,0,2,30218672
1429,0,2,36047.0,58127.5,1,11,27632574
984,2,1,7195.5,17543.1,5,10,7595746
2129,2,4,30.0,2086.0,6,0,0
1395,0,3,15533.5,52239.1,1,0,0
881,2,1,2400.0,16068.3,5,13,89022111
1988,1,4,4325.2,39627.4,1,0,0
2123,2,4,1331.2,45546.3,1,0,0
1771,0,3,17831.2,49329.8,1,0,0
1654,2,4,14.6,8732.1,6,0,0
1865,2,4,500.0,16853.7,1,0,0
361,2,4,259.7,15372.9,1,0,0
281,2,1,3652.6,60818.8,5,3,78658612
1222,2,4,6111.2,34595.9,1,0,0
517,2,4,13821.5,35324.8,1,0,0
1837,2,4,400.0,42109.9,1,0,0
