trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
620,2,1,6941.0,47005.0,5,3,81248056
1229,0,2,5152.0,33220.4,2,3,30733752
637,0,0,218.3,46625.2,7,0,0
545,0,0,103.8,22113.8,7,0,0
698,2,4,14.6,24061.1,6,0,0
359,2,4,720.0,15328.1,1,0,0
2166,0,3,21890.0,78756.8,1,0,0
545,0,0,156.2,37350.8,7,0,0
2013,2,4,17500.0,34121.4,1,0,0
1794,2,4,14.6,70642.7,6,0,0
1338,0,0,280.7,68082.8,7,0,0
1531,0,2,19187.0,40394.1,1,6,30012899
1959,0,2,2925.0,15831.7,1,1,71872031
395,2,4,14.6,77295.6,6,0,0
1909,2,4,9200.0,12495.5,1,0,0
1215,2,4,14.6,82491.1,6,0,0
1611,2,4,14.6,23871.9,6,0,0
1794,0,0,59.2,14517.6,7,0,0
1746,0,3,14000.0,19038.0,1,0,0
2037,0,0,76.8,17042.6,7,0,0
1924,2,1,4269.0,32226.0,5,9,71571534
494,2,4,11500.0,33099.9,1,0,0
1033,0,0,128.6,30807.0,7,0,0
1834,2,4,2600.0,33729.6,1,0,0
1593,0,2,2966.0,17934.9,1,2,28032946
1980,2,4,13600.0,39181.2,1,0,0
1653,0,3,21848.0,55603.0,1,0,0
1876,2,4,4600.0,16294.2,1,0,0
1461,2,4,2700.0,39609.4,1,0,0
1711,2,1,2228.0,19026.6,1,13,88755988
1641,2,4,14.6,35003.7,6,0,0
1471,2,4,1360.0,29420.7,1,0,0
1646,0,3,22399.0,81032.1,1,0,0
2111,0,2,4299.0,20263.4,2,4,16352892
2080,2,1,6449.0,67777.5,8,7,88686042
475,0,3,16903.0,87781.7,1,0,0
1260,0,2,3484.0,36232.2,1,3,81040405
1578,2,4,17800.0,44920.8,1,0,0
1033,0,0,159.0,39060.8,7,0,0
923,0,3,18960.0,44473.8,1,0,0
1653,2,1,5665.0,42282.4,8,12,81943165
1464,2,4,810.0,14930.2,1,0,0
1185,0,0,124.4,32786.4,7,0,0
1444,2,4,3040.0,40451.8,1,0,0
1292,2,4,2900.0,12786.6,1,0,0
1252,2,1,3863.0,68219.7,5,5,25406718
1744,2,1,983.0,17490.6,3,1,65920859
827,2,1,2273.0,28542.8,5,3,80010622
1468,2,1,4403.0,34220.2,5,10,72004610
1460,0,0,225.9,47282.1,7,0,0
1399,2,4,14.6,22607.9,6,0,0
1962,2,4,10500.0,49934.2,1,0,0
2037,0,0,82.2,18671.1,7,0,0
1409,2,1,2182.0,24965.6,5,2,6413495
831,2,1,1459.0,51639.5,8,11,2478039
1460,2,4,4800.0,26804.5,1,0,0
2098,2,4,14.6,2930.4,6,0,0
1404,2,1,14581.0,47890.9,5,6,42013669
668,2,4,4700.0,30640.9,1,0,0
972,2,4,14.6,18919.2,6,0,0
797,2,4,270.0,27186.0,1,0,0
2110,2,1,955.0,40108.9,0,5,37609326
1329,2,4,2480.0,15356.4,1,0,0
159,2,4,24900.0,28666.9,1,0,0
1281,2,4,9300.0,26247.6,1,0,0
1461,2,4,240.0,17866.9,1,0,0
1321,2,1,7109.0,30881.9,5,3,69338589
554,0,3,500.0,500.0,1,0,0
1479,2,4,15800.0,37410.5,1,0,0
565,2,4,14300.0,41834.1,1,0,0
2068,2,4,14.6,34918.1,6,0,0
1987,0,2,6207.0,40019.3,2,13,30300313
454,2,4,14.6,17522.1,6,0,0
788,0,0,215.8,55110.1,7,0,0
1076,2,4,13700.0,42142.6,1,0,0
1487,2,4,2400.0,25705.3,1,0,0
880,2,4,14.6,51033.2,6,0,0
1466,0,2,39102.0,73332.2,1,13,94522749
1580,0,0,81.8,15527.2,7,0,0
1338,0,0,148.4,35951.3,7,0,0
1655,2,1,2813.0,14762.3,5,3,53787499
1802,2,4,1800.0,12454.8,1,0,0
2100,2,4,6200.0,61704.0,1,0,0
303,0,0,31.0,26554.9,7,0,0
1669,0,3,20389.0,114239.5,1,0,0
1672,0,0,83.0,20246.5,7,0,0
984,2,1,46.0,19180.3,3,8,77863126
1215,2,4,14.6,14476.6,6,0,0
1703,0,0,70.8,17667.8,7,0,0
2029,2,4,1800.0,24517.7,1,0,0
1749,2,4,600.0,34486.1,1,0,0
2020,2,1,7601.0,49232.8,0,1,91621130
1483,2,4,660.0,15237.5,1,0,0
1215,0,3,1400.0,35249.1,1,0,0
1441,2,1,7001.0,74633.7,5,8,85430520
2003,0,3,300.0,35052.4,1,0,0
1540,2,4,7000.0,29454.9,1,0,0
1373,2,1,210.0,36610.0,0,3,3710729
1831,2,4,780.0,23040.5,1,0,0
2098,2,4,14.6,54339.9,6,0,0
712,2,1,928.0,22378.2,3,6,81369602
2129,0,0,330.2,68737.4,7,0,0
1798,2,4,7500.0,61327.0,1,0,0
1068,2,4,950.0,23494.6,1,0,0
1995,2,4,13200.0,25238.4,1,0,0
977,2,4,15600.0,51884.5,1,0,0
1884,2,4,14.6,16358.3,6,0,0
1429,0,0,195.1,50280.0,7,0,0
1550,0,0,264.9,59572.7,7,0,0
1730,1,4,9754.0,41366.7,1,0,0
1367,0,3,28320.0,84347.8,1,0,0
788,2,4,14.6,45596.5,6,0,0
1770,2,1,3841.0,45088.0,0,4,75018042
2164,0,3,36622.0,136644.1,1,0,0
966,1,4,6031.0,53573.2,1,0,0
1167,0,3,1400.0,21851.6,1,0,0
2037,2,4,14.6,43076.9,6,0,0
1692,2,4,27800.0,75979.4,1,0,0
1641,0,0,241.2,54396.4,7,0,0
2120,2,4,9900.0,71413.0,1,0,0
1856,2,4,14.6,20818.8,6,0,0
2077,2,1,1026.0,28710.1,0,11,54464662
1751,0,3,1200.0,27164.1,1,0,0
1107,2,4,3480.0,46847.6,1,0,0
1673,2,4,11700.0,30638.8,1,0,0
932,2,4,10200.0,77603.7,1,0,0
1813,2,4,850.0,16699.5,1,0,0
1226,2,1,184.0,90237.6,0,4,55203390
1368,2,4,14.6,27783.3,6,0,0
1862,0,2,25530.0,37943.9,1,2,42768037
1951,2,1,946.0,10297.0,5,13,15593272
576,0,0,88.2,20611.2,7,0,0
849,0,0,15.9,22962.9,7,0,0
1550,0,0,276.3,70675.7,7,0,0
2147,0,3,10791.0,-8093.6,1,0,0
897,2,4,1500.0,9022.0,1,0,0
1491,0,0,317.2,54794.7,7,0,0
1672,2,4,14.6,17096.2,6,0,0
1619,2,1,107.0,44948.2,0,9,70163124
545,0,0,77.6,18473.9,7,0,0
2048,2,1,578.0,23214.3,1,7,82782172
733,2,4,10500.0,5184.4,1,0,0
522,0,3,30055.5,69010.9,1,0,0
1474,2,1,1066.0,32206.9,5,1,72237545
1592,0,3,300.0,48320.9,1,0,0
1572,2,4,6000.0,67374.5,1,0,0
1956,2,1,5866.0,45108.2,5,5,76251017
1411,2,1,6687.0,46350.4,8,8,46268802
1306,2,5,3200.0,23186.8,1,0,0
831,2,1,367.0,22954.8,3,10,47521537
133,0,3,3500.0,18232.4,1,0,0
2190,0,0,220.5,121596.8,7,0,0
1621,0,2,37274.0,58803.5,1,9,51925015
1338,0,0,150.5,35577.2,7,0,0
1435,0,3,33081.0,68801.7,1,0,0
1044,2,1,1018.0,38541.1,5,5,93051498
1347,0,3,4288.0,42375.1,1,0,0
1154,0,3,5100.0,24927.5,1,0,0
2108,0,3,33800.0,95298.2,1,0,0
1600,1,4,7891.0,85909.6,1,0,0
1915,0,0,101.9,25054.2,7,0,0
1801,0,3,36637.5,84862.4,1,0,0
734,2,4,19000.0,45479.8,1,0,0
1703,2,4,14.6,19974.6,6,0,0
1863,2,1,5750.0,19777.5,5,3,91961931
1556,2,1,197.0,46771.8,3,12,44012415
1990,2,4,18500.0,57844.6,1,0,0
1075,0,2,4327.0,34265.6,2,1,50350195
1198,2,1,2248.0,85295.1,5,2,83092337
2190,0,0,177.8,53535.7,7,0,0
520,0,3,2800.0,25808.3,1,0,0
1830,2,4,660.0,21360.5,1,0,0
1834,0,3,13042.0,20390.8,1,0,0
1713,2,1,12.0,30169.6,0,13,17326855
1652,2,4,6200.0,43484.0,1,0,0
1343,2,1,538.0,20576.3,0,8,83567636
1429,0,0,86.6,19389.7,7,0,0
1684,2,1,6245.0,35095.9,5,9,96173613
872,2,4,13400.0,39974.5,1,0,0
431,2,1,5483.0,89118.0,0,3,30920487
1624,0,3,22414.5,54069.7,1,0,0
1580,0,0,153.2,39814.3,7,0,0
745,2,4,1760.0,20442.1,1,0,0
1514,2,4,19000.0,45567.1,1,0,0
1868,2,4,2600.0,18458.2,1,0,0
1839,2,1,2404.0,13596.4,5,9,70611452
1856,2,4,14.6,42869.8,6,0,0
1307,2,4,14.6,19609.1,6,0,0
1464,2,4,1900.0,51949.4,1,0,0
1215,2,4,14.6,17099.3,6,0,0
1429,0,0,109.8,27036.7,7,0,0
880,0,0,117.8,24727.4,7,0,0
2098,2,4,14.6,25963.7,6,0,0
1678,2,1,3649.0,65942.1,5,12,48310
2098,2,4,14.6,77074.6,6,0,0
861,0,2,24650.0,67099.7,1,4,10211325
303,2,4,14.6,23668.7,6,0,0
1641,0,0,178.4,45025.1,7,0,0
333,2,4,14.6,15032.1,6,0,0
529,2,4,5760.0,60037.2,1,0,0
1945,2,4,14.6,17844.7,6,0,0
1945,2,4,100.0,53421.5,6,0,0
1017,2,4,1700.0,20542.4,1,0,0
659,2,4,10200.0,28427.2,1,0,0
2113,2,4,900.0,51135.4,1,0,0
1825,2,4,14.6,75229.6,6,0,0
1945,0,0,180.7,52212.7,7,0,0
859,2,1,3179.0,44099.3,5,13,78449135
1550,2,4,14.6,32342.6,6,0,0
1483,2,4,1120.0,17732.7,1,0,0
1672,2,4,14.6,36262.2,6,0,0
1199,2,1,4495.0,91087.1,5,8,390536
1580,0,0,97.2,21629.2,7,0,0
1594,0,3,20266.0,59379.9,1,0,0
1770,2,4,1000.0,17710.0,1,0,0
2016,2,1,1449.0,17542.6,5,1,79115420
466,0,2,6090.0,31250.0,2,11,14724636
1254,0,2,3497.0,19055.4,1,10,53674542
2140,2,1,11276.0,23861.5,5,1,38757246
1831,2,4,2550.0,25621.6,1,0,0
614,0,2,36430.0,58754.7,1,10,47793597
1842,2,4,1680.0,34541.9,1,0,0
1802,0,3,15608.0,30487.3,1,0,0
1550,0,0,81.0,20727.4,7,0,0
1287,2,1,3373.0,36633.6,5,13,33276313
1884,0,0,141.3,46959.8,7,0,0
1959,2,1,229.0,42709.5,0,13,53360038
1307,2,4,14.6,38811.0,6,0,0
890,0,3,28533.0,70522.1,1,0,0
793,1,4,18913.0,48497.4,1,0,0
1884,0,0,79.0,21415.5,7,0,0
1764,2,4,14.6,35971.6,6,0,0
1443,2,1,118.0,62527.5,3,6,42836803
1836,2,4,23000.0,47122.8,1,0,0
1307,0,0,379.3,67422.8,7,0,0
303,2,4,3040.0,18295.4,1,0,0
1653,2,1,7806.0,54854.0,5,10,24160874
1800,0,2,5973.0,35249.1,2,9,63470822
2068,2,4,14.6,44748.3,6,0,0
1852,2,4,660.0,23119.7,1,0,0
584,0,2,6444.0,19580.9,2,11,54714143
1897,2,1,127.0,48058.1,0,6,67559063
954,2,1,6994.0,34410.8,5,9,62958741
1408,2,1,1338.0,29722.9,5,4,39075994
1825,2,4,14.6,16759.4,6,0,0
1260,2,1,9356.0,51318.6,5,5,14144766
1264,2,4,10300.0,37486.0,1,0,0
1429,2,4,14.6,30009.9,6,0,0
2068,2,4,14.6,18917.2,6,0,0
1849,2,4,1500.0,51681.7,1,0,0
1764,0,0,180.8,28025.1,7,0,0
1995,2,4,4000.0,51338.9,1,0,0
1194,2,1,1494.0,12469.9,5,6,35182595
1916,0,3,17390.0,66427.2,1,0,0
1239,2,4,8400.0,31842.0,1,0,0
1976,0,0,95.7,19511.7,7,0,0
1764,2,4,14.6,25717.3,6,0,0
1733,2,4,14.6,78654.7,6,0,0
1262,2,4,7400.0,35806.0,1,0,0
2168,2,1,296.0,22694.5,1,6,7159662
941,2,4,14.6,50913.7,6,0,0
2056,0,3,600.0,44715.2,1,0,0
515,2,4,14.6,30727.8,6,0,0
911,2,4,1560.0,36457.6,1,0,0
1764,2,4,14.6,23690.9,6,0,0
2158,2,4,800.0,26167.8,1,0,0
1865,2,1,8637.0,32869.3,0,7,28350711
1212,2,4,2800.0,20631.0,1,0,0
1815,2,4,16300.0,71155.4,1,0,0
696,2,4,3200.0,33894.0,1,0,0
432,0,3,18500.0,58682.6,1,0,0
2178,2,5,1800.0,51746.5,1,0,0
1325,0,3,1100.0,57230.0,1,0,0
1894,2,4,1600.0,39526.2,1,0,0
1246,2,4,4.3,1940.2,4,0,0
2141,0,2,3271.0,22051.9,1,13,3565776
1641,0,0,145.0,34739.1,7,0,0
749,2,4,540.0,22466.7,1,0,0
1902,0,3,10200.0,19978.9,1,0,0
2166,1,4,3150.0,43578.0,1,0,0
760,2,4,14.6,31823.8,6,0,0
1604,2,4,100.0,40662.9,1,0,0
1312,0,2,3401.0,28227.1,1,5,6149286
1033,0,0,248.2,61553.7,7,0,0
1672,2,4,14.6,14996.7,6,0,0
1501,2,1,7607.0,55379.7,5,2,41483783
2190,0,0,95.9,24790.6,7,0,0
2037,2,4,14.6,52679.8,6,0,0
1140,2,4,1800.0,28306.9,1,0,0
1708,2,4,6100.0,40384.6,1,0,0
1609,0,3,40497.0,108639.1,1,0,0
1587,2,1,164.0,12920.2,5,1,84388368
1616,0,3,400.0,26223.2,1,0,0
1672,0,0,85.1,20816.1,7,0,0
2143,2,1,4519.0,41491.4,5,5,89942037
1377,0,3,6700.0,25128.7,1,0,0
1464,2,4,2400.0,37068.5,1,0,0
1850,2,4,2520.0,16879.5,1,0,0
1376,0,3,100.0,15169.1,1,0,0
247,2,4,4700.0,16865.9,5,0,0
2180,2,4,20300.0,82742.5,1,0,0
2129,0,0,105.7,23904.2,7,0,0
1429,0,0,28.3,31465.2,7,0,0
1281,0,2,4016.0,24558.8,2,2,73123591
2178,2,4,4800.0,79228.9,1,0,0
1889,2,4,3000.0,21141.5,1,0,0
923,2,1,6387.0,56661.0,5,4,47965639
1468,2,4,450.0,30838.0,1,0,0
520,2,1,5042.0,27222.5,5,9,62073033
2129,2,4,14.6,63484.6,6,0,0
1715,2,1,8022.8,51596.7,8,10,99570404
1618,2,1,5542.0,44525.7,0,12,28735864
1440,2,5,1300.0,54008.7,1,0,0
1242,0,3,300.0,300.0,1,0,0
1503,0,2,24802.0,40569.2,1,4,73418420
515,0,0,18.1,12674.9,7,0,0
1594,2,1,3486.0,23970.3,5,11,5356938
1814,2,4,5700.0,84833.8,1,0,0
689,0,3,12500.0,12141.9,1,0,0
2144,2,4,12600.0,99989.5,1,0,0
1377,0,3,18879.0,62914.5,1,0,0
694,2,4,1100.0,22864.0,1,0,0
637,0,0,303.0,57142.4,7,0,0
1033,2,4,14.6,48494.1,6,0,0
1580,2,4,14.6,17690.9,6,0,0
1889,0,3,9087.0,58774.4,1,0,0
