trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1915,0,0,238.4,68929.4,7,0,0
1945,2,4,14.6,16152.2,6,0,0
218,0,0,78.8,37139.9,7,0,0
1703,0,0,112.0,31652.6,7,0,0
1383,2,4,30.0,71488.5,6,0,0
1459,0,3,19813.9,63532.0,1,0,0
1825,0,3,9923.1,40142.1,1,0,0
1029,0,0,9.2,5483.9,7,0,0
1956,2,1,10912.6,11981.7,5,9,64883887
1290,2,1,1100.0,21208.9,5,7,73207007
1976,0,3,22036.5,54930.8,1,0,0
377,2,4,14.6,49626.9,6,0,0
1980,2,4,14.6,11948.8,6,0,0
1823,0,0,101.2,18505.2,7,0,0
1062,2,4,14.6,44792.7,6,0,0
1641,0,0,91.3,19026.5,7,0,0
1728,2,4,12966.2,43990.3,1,0,0
1733,0,3,31202.4,87758.9,1,0,0
1976,2,4,14.6,29363.8,6,0,0
2011,2,1,3119.4,78233.9,5,4,54361576
913,2,1,3701.1,39859.6,5,4,9247079
1952,0,3,37589.5,99553.4,1,0,0
342,2,1,1948.6,16503.3,1,12,89911314
1915,2,1,400.0,48463.2,0,13,12994609
2126,0,3,17976.9,71800.8,1,0,0
1422,0,0,100.0,24093.0,7,0,0
1215,2,4,14.6,19721.1,6,0,0
382,2,1,247.9,35642.0,0,9,4424510
897,2,1,7611.7,31139.3,5,4,31045338
2068,2,1,308.3,39668.2,0,5,42112454
1338,0,3,11591.3,32011.5,1,0,0
1945,2,4,30.0,28903.5,6,0,0
2173,0,3,28840.3,94161.5,1,0,0
2006,0,0,329.8,92244.1,7,0,0
2046,2,4,14.6,30510.3,6,0,0
2134,2,4,2357.7,13306.3,1,0,0
394,0,0,32.7,37265.0,7,0,0
2190,0,0,212.5,62733.8,7,0,0
614,0,3,5016.2,20449.8,1,0,0
882,0,0,191.9,48915.5,7,0,0
1496,2,4,19382.1,34747.2,1,0,0
1473,0,3,8807.7,53798.8,1,0,0
2190,0,0,300.0,72397.7,7,0,0
395,2,4,6329.7,29639.7,1,0,0
620,2,1,5737.1,30143.8,5,3,3796614
2013,0,3,1623.5,15993.6,1,0,0
1447,2,1,5992.1,51348.0,5,6,80550752
1190,2,1,800.5,45330.3,3,9,17058360
253,2,1,6679.1,43318.3,5,12,9522381
639,0,0,174.1,40420.7,7,0,0
1491,2,1,9298.0,31945.2,5,9,90323904
2098,2,4,5693.7,50527.7,1,0,0
1943,0,3,17702.4,40329.1,1,0,0
1714,2,4,14.6,36672.3,6,0,0
760,2,1,495.1,34987.4,3,5,86612022
1715,0,2,3472.1,20726.3,1,5,20603284
1777,0,0,168.7,31279.3,7,0,0
941,2,1,1401.7,31629.9,5,9,9880082
1097,2,1,3477.4,21428.3,5,3,76392642
1071,0,3,11498.7,28179.8,1,0,0
2095,2,1,9956.2,36715.8,5,13,35373194
2049,2,4,14.6,52053.1,6,0,0
1314,0,3,1434.0,36171.7,1,0,0
1207,0,2,3004.7,19288.1,1,1,66085802
2140,2,1,4085.4,56563.7,5,9,9587189
1316,2,4,9403.9,44344.6,1,0,0
1476,2,5,616.9,38381.0,1,0,0
982,0,2,38000.8,79660.1,1,8,62214475
1838,2,4,744.8,33468.4,1,0,0
1641,0,0,77.5,19735.0,7,0,0
1488,2,1,6898.4,24588.3,5,10,34224165
1976,0,0,82.1,22810.2,7,0,0
759,0,0,109.5,27063.6,7,0,0
1856,0,0,72.5,17380.0,7,0,0
1976,2,4,14.6,15039.7,6,0,0
1566,2,1,3239.7,30446.0,5,6,50951066
1764,2,1,1562.5,35492.7,8,8,47321529
2068,0,3,21256.5,56017.6,1,0,0
1660,2,1,9052.6,33430.2,5,13,58406679
1320,2,4,14.6,39375.6,6,0,0
1258,2,4,3000.0,35126.7,1,0,0
2129,2,4,14.6,97604.7,6,0,0
