trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
819,2,1,898.0,14997.2,0,6,46596549
1284,2,4,6698.3,26133.6,1,0,0
2097,2,4,14230.4,59961.1,1,0,0
1033,2,4,14.6,8753.6,6,0,0
2068,2,4,2757.1,16400.4,1,0,0
1087,2,1,3099.5,24968.8,5,10,59556136
1476,2,1,8861.1,51597.0,5,11,59972966
1476,0,3,10846.0,35255.4,1,0,0
2159,2,4,30.0,55235.0,6,0,0
1624,2,1,6969.2,20865.4,0,11,69623730
1278,2,4,2400.0,43169.0,1,0,0
1580,2,4,433.8,25852.4,1,0,0
1711,0,0,69.2,17594.0,7,0,0
2020,2,1,2400.2,19794.1,0,11,15040342
1399,0,0,191.6,107538.6,7,0,0
1471,0,0,97.4,16545.4,7,0,0
2079,2,1,951.3,37471.2,0,9,90922535
2035,2,4,14.6,26803.3,6,0,0
2159,2,4,7316.9,41987.3,1,0,0
1073,0,0,188.0,38480.8,7,0,0
528,0,3,1318.4,19522.9,1,0,0
1134,2,1,1721.6,26898.4,5,3,58595781
1063,2,4,333.6,40329.9,1,0,0
1680,2,4,14.6,34815.6,6,0,0
1137,0,2,3105.6,22337.2,1,6,18811534
1945,0,0,101.6,25404.2,7,0,0
608,2,4,14.6,22474.2,6,0,0
1434,0,0,85.3,19616.6,7,0,0
1956,2,4,3673.9,14043.7,1,0,0
1468,2,4,16992.6,92063.7,1,0,0
2129,0,0,61.8,14319.7,7,0,0
685,0,3,6293.8,17680.8,1,0,0
1429,0,3,11511.0,75009.7,1,0,0
1825,2,1,3731.6,46228.0,5,10,23830195
1316,0,3,4890.1,29207.2,1,0,0
1844,2,1,3900.0,11069.1,5,6,74971180
2167,2,1,3748.0,38585.4,5,12,47290980
1855,2,4,3918.8,16655.2,1,0,0
1915,2,4,14.6,16342.7,6,0,0
556,2,1,1953.8,10741.9,0,8,92517588
1562,0,3,4093.0,15333.3,1,0,0
1864,2,4,996.6,21192.0,1,0,0
1794,0,0,70.1,21262.0,7,0,0
1491,2,4,14.6,43258.7,6,0,0
1836,2,4,14.6,23878.7,6,0,0
1322,1,4,17517.6,33762.6,1,0,0
1154,2,1,3388.2,34283.5,8,12,64970935
1230,2,1,5641.2,34876.6,5,8,82079168
2082,2,1,6944.3,18742.3,5,10,13128134
1915,2,1,1696.8,43580.1,5,12,87005858
1351,0,0,281.4,66605.3,7,0,0
1852,2,4,2061.6,46569.0,1,0,0
310,2,4,723.2,31149.2,1,0,0
