trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1884,2,1,4089.3,45494.3,8,2,33659345
1810,2,4,99.8,37203.0,6,0,0
1218,2,4,14.6,24035.5,6,0,0
1519,2,1,1900.0,26592.2,5,1,8345417
1274,2,4,14.6,34374.4,6,0,0
575,2,4,14.6,92042.3,6,0,0
1953,0,2,6931.7,39319.8,2,3,76091632
1680,2,1,2179.1,21469.2,5,11,54197874
1672,0,3,4008.6,22988.1,1,0,0
1152,2,4,14.6,17884.8,6,0,0
940,2,4,14.6,14042.3,6,0,0
186,2,4,8133.3,37531.9,1,0,0
1870,0,2,30244.3,59019.0,1,9,23168855
1835,0,0,135.3,26554.7,7,0,0
2006,2,4,100.0,44912.5,6,0,0
1621,0,3,26771.7,70691.9,1,0,0
730,2,4,14.6,21667.5,6,0,0
1256,0,2,23476.4,52838.7,1,5,34683291
1550,2,5,2891.6,39298.3,1,0,0
1092,2,4,3356.5,17813.4,1,0,0
1618,0,3,34320.4,77431.5,1,0,0
1806,2,4,14.6,29382.2,6,0,0
1804,2,4,14.6,34133.7,6,0,0
1185,2,4,2585.8,26723.0,1,0,0
522,2,4,14.6,30894.3,6,0,0
2129,0,0,101.6,25131.2,7,0,0
1276,2,4,14.6,20968.2,6,0,0
2045,2,4,5261.1,19447.3,1,0,0
1641,0,3,1480.9,23993.4,1,0,0
1580,2,1,6789.0,20359.0,5,9,60672354
1877,0,3,13672.7,73208.3,1,0,0
2105,2,1,1944.4,25009.9,5,10,42504821
544,0,2,34965.9,59832.3,1,4,39927250
1519,2,1,3600.0,18095.3,5,5,82703155
1820,0,0,135.0,13465.8,7,0,0
1641,0,3,24189.5,71737.4,1,0,0
1891,0,2,3111.7,16569.5,1,8,75382300
1245,0,3,6322.2,66536.1,1,0,0
2083,0,3,19461.7,49783.8,1,0,0
1786,2,4,14.6,18559.9,6,0,0
502,0,2,3359.6,17163.6,1,6,49215971
864,2,1,2314.1,29101.5,5,9,24184523
304,0,0,85.5,28661.5,7,0,0
1915,2,4,9650.5,30210.6,1,0,0
1711,0,0,137.4,34681.6,7,0,0
1682,2,4,12360.3,65149.4,1,0,0
1573,2,4,30.0,46367.4,6,0,0
2129,2,4,22110.9,78207.0,1,0,0
1684,2,4,14.6,42468.7,6,0,0
2159,2,4,14.6,28191.7,6,0,0
2190,0,0,77.2,17746.3,7,0,0
1283,2,4,14.6,44051.4,6,0,0
1865,2,4,14.6,46349.9,6,0,0
915,2,4,777.0,33113.7,1,0,0
777,2,4,3298.1,15252.0,1,0,0
1399,0,0,263.6,62718.6,7,0,0
451,2,4,14216.1,42073.2,1,0,0
1210,0,0,119.2,30037.3,7,0,0
1308,0,3,5958.8,45990.3,1,0,0
1956,2,1,691.9,21554.8,3,3,16509808
1069,2,4,12050.2,32799.5,1,0,0
1331,2,4,10355.3,50888.3,1,0,0
1805,2,4,14.6,82243.2,6,0,0
515,0,3,8791.5,29259.3,1,0,0
2129,2,4,19520.7,45059.4,1,0,0
1374,2,4,14.6,30626.1,6,0,0
1733,1,4,16512.0,26265.7,1,0,0
1641,0,0,56.9,13090.5,7,0,0
1307,2,4,3010.1,49901.5,1,0,0
1833,0,0,246.0,57348.9,7,0,0
1307,0,0,73.9,17903.3,7,0,0
1672,2,4,3400.1,24513.3,1,0,0
2074,2,4,280.3,21311.1,1,0,0
1188,0,0,71.2,14984.3,7,0,0
2046,2,1,1928.9,12953.1,5,12,3363237
1468,2,1,4281.0,28822.3,5,2,49901841
372,0,3,15382.4,48549.7,1,0,0
2074,2,4,14.6,48458.3,6,0,0
1864,0,0,77.8,17622.0,7,0,0
1224,0,2,6087.2,14768.1,2,12,79847349
1831,2,4,15553.5,44851.4,1,0,0
1430,2,1,2257.6,12749.3,5,3,95560839
1531,2,4,14.6,30408.8,6,0,0
1276,0,0,88.4,21340.9,7,0,0
1638,2,4,14.6,12095.4,6,0,0
1307,2,4,11259.5,42201.0,1,0,0
1672,0,0,233.5,56574.6,7,0,0
1473,0,0,128.3,31499.4,7,0,0
367,2,4,1504.8,46969.6,1,0,0
849,2,1,2942.4,35937.3,5,8,85308814
1825,0,0,239.5,52635.8,7,0,0
760,2,1,8801.3,31514.9,5,5,72163147
2037,2,4,100.0,50300.3,6,0,0
1501,0,3,16790.3,54862.5,1,0,0
640,1,4,3084.7,25175.8,1,0,0
334,0,0,53.0,34434.6,7,0,0
1856,2,4,14321.5,41969.2,1,0,0
714,2,4,2600.9,28288.0,1,0,0
1987,0,0,169.4,45307.2,7,0,0
1801,0,0,239.3,58088.5,7,0,0
1694,2,4,14.6,13457.6,6,0,0
1550,2,4,14.6,47080.0,6,0,0
2172,2,1,1072.3,81923.8,5,6,88609413
1687,2,1,7457.6,28312.4,5,11,60861972
1945,0,3,13204.5,59503.3,1,0,0
240,2,4,2797.6,42355.0,1,0,0
1265,0,0,149.4,35643.7,7,0,0
