trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1151,2,1,211.9,20040.5,0,3,98459508
1660,2,4,4567.2,66498.5,1,0,0
557,0,2,3406.2,22359.9,1,12,48216930
1501,2,4,11280.5,34645.3,1,0,0
1838,2,4,3491.9,42396.6,1,0,0
2167,2,1,3500.4,12721.5,5,10,19926256
832,2,1,1825.5,23367.0,5,9,95839578
1151,2,4,20266.8,34689.3,1,0,0
1800,2,4,3086.9,68863.1,1,0,0
1465,0,3,21955.6,63923.0,1,0,0
1604,0,3,10113.3,41737.4,1,0,0
1005,2,1,2965.7,24898.2,5,10,81325306
1829,2,4,14.6,13482.8,6,0,0
701,2,1,739.3,25056.2,5,11,85858290
2170,2,1,8719.8,59195.9,5,10,88342006
1082,2,4,4975.7,97506.4,1,0,0
1829,2,4,3978.7,31576.7,1,0,0
1951,0,0,76.4,16063.3,7,0,0
1621,2,1,574.4,50277.9,0,4,69873853
1428,0,0,111.1,27396.4,7,0,0
2111,2,4,14.6,28867.1,6,0,0
2099,0,0,100.1,25107.6,7,0,0
1787,2,5,5221.0,86579.4,1,0,0
2111,2,1,3720.0,17874.4,5,12,99870438
1848,0,0,71.5,18504.9,7,0,0
1274,0,2,20370.6,38420.6,1,4,65277049
2073,0,0,167.7,42404.8,7,0,0
698,2,4,5684.6,23340.0,1,0,0
1976,2,1,698.2,12641.2,5,9,64072189
1501,2,1,167.0,38961.0,5,10,24277657
2138,2,4,19590.3,52617.8,1,0,0
1005,2,1,1406.8,23128.7,1,10,7748387
2140,2,1,4478.3,30930.7,5,13,75206329
1293,0,0,117.9,29295.5,7,0,0
770,2,1,2788.3,23286.7,5,12,24262966
1263,0,0,167.8,23125.6,7,0,0
2048,0,3,48810.0,87938.0,1,0,0
2102,2,4,14.6,32903.9,6,0,0
1976,0,2,4567.6,20090.2,2,2,18356516
1488,2,4,14.6,24458.2,6,0,0
1703,2,4,1981.8,19959.6,1,0,0
982,2,4,13404.9,31454.5,1,0,0
1195,0,0,96.1,15265.4,7,0,0
2138,2,5,3600.0,34321.2,1,0,0
707,2,4,1095.8,82410.5,1,0,0
1589,0,3,9216.5,30642.6,1,0,0
1525,0,0,100.0,24168.0,7,0,0
1217,2,1,6336.9,34858.0,0,10,96772569
1491,0,0,132.0,43492.2,7,0,0
2075,2,4,14.6,54955.1,6,0,0
1951,2,4,6632.9,19987.7,1,0,0
2159,2,4,3051.8,51167.9,1,0,0
1639,2,4,14.6,25142.9,6,0,0
1246,2,4,2237.2,21080.8,1,0,0
1110,0,0,193.2,47144.3,7,0,0
1328,2,4,30.0,123152.2,6,0,0
1955,2,4,827.6,18705.0,1,0,0
1557,2,4,3584.9,20978.7,1,0,0
691,0,2,3241.1,19678.8,1,8,64223299
1226,0,0,154.2,38404.2,7,0,0
663,0,3,24550.5,56954.5,1,0,0
1846,0,0,108.3,22809.3,7,0,0
1517,2,5,3405.9,76399.3,1,0,0
2008,2,4,14.6,74147.0,6,0,0
1368,0,0,180.7,41874.8,7,0,0
2079,0,0,153.4,49215.5,7,0,0
1379,0,3,22562.0,67422.3,1,0,0
1141,2,4,19818.4,31279.6,1,0,0
2139,2,1,5921.5,64228.7,5,7,91545507
1226,2,4,14.6,16069.0,6,0,0
1181,2,1,323.0,33794.8,3,10,87936135
548,2,4,6718.4,23629.3,1,0,0
1460,2,1,3308.4,19629.4,5,12,86656301
2085,2,4,2925.3,16705.4,1,0,0
1491,0,2,4639.4,22961.1,2,11,89605778
1497,0,2,3694.1,34815.3,1,7,2937391
746,0,3,6447.0,21787.3,1,0,0
1703,1,4,12212.5,48476.0,1,0,0
781,2,4,14.6,12606.5,6,0,0
1436,2,4,30.0,49446.3,6,0,0
397,2,4,5398.4,39020.4,1,0,0
2129,0,0,157.6,56514.7,7,0,0
2068,2,4,14.6,52880.1,6,0,0
1695,0,3,1296.2,1301.6,1,0,0
1896,2,4,14.6,17987.1,6,0,0
659,0,0,260.6,61861.9,7,0,0
1855,2,4,37467.3,63724.5,1,0,0
1307,0,3,35839.2,83898.3,1,0,0
2035,2,4,34631.8,49909.4,1,0,0
1163,2,4,5040.8,36307.5,1,0,0
1221,0,3,33511.8,107532.0,1,0,0
1338,2,4,14.6,30132.1,6,0,0
2043,2,1,646.8,61675.1,0,8,68161916
1770,0,0,100.0,24681.1,7,0,0
395,2,4,993.6,21654.9,1,0,0
1529,2,1,8128.2,42119.3,8,1,75479182
1703,0,3,11494.4,57499.3,1,0,0
363,2,4,1801.0,15832.0,1,0,0
724,0,0,191.3,45408.1,7,0,0
326,2,4,33388.5,66783.9,1,0,0
1915,0,3,1304.7,33482.2,1,0,0
1664,2,4,21399.7,65301.3,1,0,0
2103,2,4,14.6,96335.9,6,0,0
2139,2,1,1754.3,25246.5,0,12,75908851
1575,0,0,100.0,25593.9,7,0,0
1597,0,0,173.4,36024.4,7,0,0
1343,2,1,1802.4,19783.1,8,8,95636892
823,0,0,206.2,34970.1,7,0,0
1299,2,4,30.0,27956.4,6,0,0
1462,2,4,1987.3,36213.5,1,0,0
1926,2,4,785.3,71389.8,1,0,0
2044,0,0,106.7,25890.6,7,0,0
1856,2,1,3303.2,11965.8,5,11,47468437
1299,2,4,13004.1,34859.9,1,0,0
1347,2,4,14.6,47551.9,6,0,0
1550,2,4,7978.2,21264.4,1,0,0
1837,0,0,70.5,16628.4,7,0,0
424,2,4,14.6,18022.1,6,0,0
947,2,4,3613.6,45263.8,1,0,0
2011,0,3,33710.5,120171.1,1,0,0
610,2,1,598.9,17507.3,1,3,50669506
1915,2,4,14.6,14201.3,6,0,0
1287,0,3,1078.5,26837.9,1,0,0
733,0,0,135.6,31209.2,7,0,0
1124,2,4,2950.9,61706.5,1,0,0
1972,2,1,3937.3,32864.0,5,4,61719246
704,0,2,6169.4,18729.9,2,4,23513496
1820,1,4,23182.9,22772.1,1,0,0
1802,0,0,88.1,15492.4,7,0,0
1840,2,4,145.9,42574.9,1,0,0
1277,2,4,1798.4,40389.1,1,0,0
312,2,4,14.6,31823.4,6,0,0
1773,2,4,289.5,18782.9,1,0,0
