trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1256,0,0,105.0,21088.5,7,0,0
1893,2,1,414.2,60822.8,0,7,32481338
1684,0,3,9766.7,19453.7,1,0,0
2105,0,3,2098.7,30154.2,1,0,0
1038,0,0,35.9,11572.4,7,0,0
1950,2,4,14.6,71043.1,6,0,0
1733,0,0,100.0,28760.9,7,0,0
1842,2,4,1385.3,17299.5,1,0,0
429,2,4,5257.2,43253.4,1,0,0
2109,0,3,11930.8,36023.0,1,0,0
1429,2,4,1387.6,20495.6,1,0,0
1519,2,4,3919.0,21800.4,1,0,0
1683,2,1,128.6,20022.7,5,1,21770890
1301,2,4,16141.8,39171.5,1,0,0
941,2,1,3600.0,33629.1,5,1,48093828
527,0,0,90.9,24114.0,7,0,0
723,2,4,7192.4,44500.6,1,0,0
159,0,0,216.5,49284.3,7,0,0
1838,2,4,5100.0,42052.6,1,0,0
737,2,1,1531.4,24088.5,5,2,77071650
1869,0,2,6279.9,23633.5,2,1,21289672
2159,2,1,3170.8,35569.1,0,2,45888804
1262,2,4,6845.2,15141.2,1,0,0
819,0,0,249.4,51011.2,7,0,0
2082,2,4,14.6,22577.9,6,0,0
1588,2,4,7877.9,46701.8,1,0,0
2087,0,2,3175.5,29083.7,1,12,73481920
1125,2,4,14.6,27912.3,6,0,0
1155,0,3,9992.9,623.8,1,0,0
1856,0,2,35759.7,52551.5,1,12,38506240
1001,2,1,846.5,39154.8,0,13,67883670
589,2,4,14.6,21692.7,6,0,0
634,0,0,72.4,21113.4,7,0,0
2128,0,0,151.5,32452.3,7,0,0
2049,2,4,6064.3,25448.1,1,0,0
1795,2,1,8293.3,23717.5,5,7,88604630
1646,0,0,86.8,22811.4,7,0,0
1397,2,4,14.6,33996.8,6,0,0
1001,2,1,6905.7,46847.4,5,7,17274112
2027,0,0,138.6,29331.3,7,0,0
1616,0,0,318.5,72216.6,7,0,0
1046,0,2,18797.2,31793.8,1,3,68752744
1586,0,3,6258.4,36972.4,1,0,0
1733,2,1,1294.1,46649.5,0,8,10035954
1925,2,4,978.2,14817.8,1,0,0
1322,2,4,14.6,17768.2,6,0,0
1308,0,3,30333.5,122784.2,1,0,0
1611,2,4,14.6,129818.4,6,0,0
1411,0,0,212.1,46670.5,7,0,0
1519,2,4,1812.5,15031.3,1,0,0
1076,2,1,2772.9,39360.9,5,9,98725440
1856,0,0,111.4,23235.1,7,0,0
2047,2,4,623.6,18193.0,1,0,0
607,0,2,29967.1,64059.1,1,11,19364804
1999,2,4,14.6,68750.3,6,0,0
1764,2,4,14.6,19203.9,6,0,0
584,2,4,6751.2,37604.6,1,0,0
582,0,3,12606.3,40836.9,1,0,0
2037,0,0,334.1,56350.7,7,0,0
1730,0,3,866.4,37370.9,1,0,0
1548,2,1,12237.7,39776.8,5,6,21819678
1863,2,1,2398.9,32285.9,5,5,64659548
1260,0,3,11838.3,30047.8,1,0,0
1925,0,2,49240.3,67791.2,1,11,6296579
1837,2,4,14.6,41754.1,6,0,0
694,2,4,2016.0,46142.5,1,0,0
1837,0,3,14732.1,30117.5,1,0,0
565,2,4,743.2,22177.0,1,0,0
1764,2,1,280.0,37941.7,5,7,16776474
771,2,4,9012.0,35286.2,1,0,0
1864,0,0,190.0,31771.7,7,0,0
882,2,4,1202.6,25466.0,1,0,0
910,2,4,12256.4,37544.8,1,0,0
1491,2,4,14.6,25029.0,6,0,0
1837,0,2,45968.1,80763.8,1,7,66405744
2163,2,4,14.6,51462.0,6,0,0
2051,0,3,14412.2,57880.1,1,0,0
1915,2,4,732.3,11110.5,1,0,0
1114,2,4,2902.4,20626.6,1,0,0
1115,2,4,2000.0,43833.8,1,0,0
1896,2,4,2069.9,12705.3,1,0,0
545,0,0,58.5,16623.0,7,0,0
1473,0,3,13312.0,34651.9,1,0,0
672,1,4,11409.4,34092.6,1,0,0
2051,2,4,14.6,93793.2,6,0,0
1894,2,4,404.3,24215.6,1,0,0
696,0,3,59858.9,174428.0,1,0,0
353,0,3,15107.0,34074.2,1,0,0
795,2,4,2089.4,23276.1,1,0,0
1246,0,0,156.8,34376.9,7,0,0
1637,1,4,15352.5,26765.4,1,0,0
1348,2,1,2096.5,19954.7,1,9,28467706
1368,0,3,16635.9,41815.7,1,0,0
1801,2,1,3279.1,31085.7,5,4,3077402
757,0,2,3303.1,21357.0,1,11,23109402
1611,0,3,413.8,38678.8,1,0,0
2029,0,3,2960.3,30723.7,1,0,0
1434,2,4,14.6,78290.4,6,0,0
2138,0,0,63.7,12389.3,7,0,0
1000,0,0,204.0,26499.2,7,0,0
2098,2,4,14.6,50690.8,6,0,0
1246,0,3,21148.3,60252.1,1,0,0
425,0,3,7800.9,48327.0,1,0,0
482,0,3,17638.6,52771.1,1,0,0
1627,0,3,10741.5,54016.1,1,0,0
1462,0,0,0.4,7475.0,7,0,0
1380,2,4,13821.4,54854.9,1,0,0
2129,0,3,18480.2,64276.5,1,0,0
1001,0,3,11878.5,41213.5,1,0,0
1733,0,2,5100.0,24495.8,2,3,75119410
1856,2,1,8657.6,63965.6,5,11,72357420
376,0,3,13030.9,7780.0,1,0,0
738,2,4,6691.3,35719.2,1,0,0
672,0,0,99.9,29136.7,7,0,0
2113,0,3,8625.1,101809.0,1,0,0
1915,2,4,5000.6,37312.6,1,0,0
1646,2,1,1129.0,41745.9,0,8,18559158
329,2,4,2213.8,35559.5,1,0,0
1954,2,4,14.6,45326.0,6,0,0
2080,0,0,59.6,12813.9,7,0,0
1094,0,0,55.2,14224.9,7,0,0
1944,0,0,121.0,32970.4,7,0,0
1627,2,1,5053.0,22195.9,5,7,11455288
880,2,4,14.6,33886.0,6,0,0
1232,0,3,20163.8,83314.5,1,0,0
1338,0,2,5756.4,33320.3,2,5,15382105
879,2,4,3305.3,19005.6,1,0,0
1105,2,1,3840.9,28555.2,5,4,59336220
1737,2,4,6726.0,62226.1,1,0,0
1833,0,3,1465.6,27075.6,1,0,0
710,0,3,22796.6,100387.7,1,0,0
1641,2,4,31513.0,72213.8,1,0,0
1941,2,5,3998.5,66211.5,1,0,0
1437,2,1,1030.5,64795.6,5,4,76025580
1976,0,3,33816.2,57518.0,1,0,0
635,2,4,14.6,20664.7,6,0,0
1104,2,4,19587.4,39316.4,1,0,0
630,2,4,6857.7,45453.9,1,0,0
1854,0,2,4939.8,26374.0,2,9,126504
1641,2,4,2988.1,13205.8,1,0,0
1833,2,4,263.1,26206.2,1,0,0
1469,0,3,15979.6,28174.3,1,0,0
430,0,3,37382.9,81765.0,1,0,0
1154,0,3,9813.0,37453.7,1,0,0
1741,0,0,325.1,72107.7,7,0,0
1491,2,5,4757.4,39470.2,1,0,0
1776,2,4,4000.0,18319.7,1,0,0
1700,0,0,59.2,17857.5,7,0,0
895,2,4,14.6,30594.9,6,0,0
2068,2,1,1914.9,68859.5,5,9,66762416
1434,0,0,121.7,36611.2,7,0,0
591,0,3,33693.5,62987.7,1,0,0
1605,0,0,100.0,21873.0,7,0,0
2074,2,4,14.6,36363.1,6,0,0
1549,2,1,2139.9,19008.6,5,9,39225812
1253,2,4,20601.1,80355.5,1,0,0
1499,0,0,65.3,21476.8,7,0,0
1010,2,4,1611.0,69822.8,1,0,0
1304,0,3,7234.5,33002.1,1,0,0
1435,2,1,1501.1,78407.3,5,9,39059490
1111,0,3,42327.2,83677.6,1,0,0
330,0,0,132.7,35596.9,7,0,0
1831,0,3,7581.3,44767.6,1,0,0
1976,0,0,153.4,35425.6,7,0,0
1218,2,4,634.6,14393.3,1,0,0
2080,0,3,15098.9,83344.4,1,0,0
1805,2,4,14.6,76075.3,6,0,0
1856,2,4,1400.0,20109.7,1,0,0
1002,2,1,5100.0,32877.5,5,12,91360670
1684,2,4,14.6,21450.3,6,0,0
1063,0,0,109.4,30504.1,7,0,0
2058,2,4,19165.3,47973.7,1,0,0
1575,0,0,474.6,89977.6,7,0,0
1002,2,4,17900.0,31312.7,1,0,0
1670,2,4,15483.2,50415.0,1,0,0
1557,0,3,25908.5,90505.2,1,0,0
1942,2,4,8038.4,28656.3,1,0,0
1413,0,3,14771.2,40414.2,1,0,0
1580,0,2,46936.9,77548.1,1,8,51690410
1196,0,0,110.1,25627.2,7,0,0
1976,2,4,3212.2,36615.0,1,0,0
1915,2,4,14.6,71287.2,6,0,0
560,0,3,960.0,22151.8,1,0,0
1976,0,3,2551.4,24546.2,1,0,0
1840,2,4,4063.7,11702.3,1,0,0
1224,2,4,14.6,20702.5,6,0,0
2143,0,3,23962.7,38619.6,1,0,0
645,2,1,9721.8,40127.8,5,4,95272860
2159,2,4,8290.5,12770.5,1,0,0
1307,0,0,143.1,45266.5,7,0,0
1621,2,4,14.6,35803.8,6,0,0
1925,2,4,14.6,17772.5,6,0,0
1794,2,1,1943.0,12361.8,5,11,40707476
1491,2,4,5874.5,30707.0,1,0,0
807,2,4,191.4,44649.2,1,0,0
1847,0,2,5491.4,22949.5,2,11,3920641
2170,0,3,19331.6,40347.6,1,0,0
1182,2,4,7918.1,34196.1,1,0,0
962,2,4,2199.9,32083.8,1,0,0
1654,2,1,5768.8,45710.0,0,1,21759426
2112,0,3,38107.6,76109.7,1,0,0
1768,2,1,2490.8,40769.1,5,1,71023360
282,2,4,12227.2,29448.1,1,0,0
1648,0,3,39172.6,71108.8,1,0,0
1266,0,0,165.5,53760.6,7,0,0
1743,2,1,1441.3,41459.4,8,7,41807404
2029,2,4,14.6,61846.2,6,0,0
1338,2,4,14.6,24116.4,6,0,0
2113,0,3,10195.7,26741.1,1,0,0
1856,2,1,9679.8,48072.1,5,6,22537648
941,2,4,14.6,42509.6,6,0,0
2190,0,0,209.0,54457.8,7,0,0
1559,0,3,10086.4,47557.5,1,0,0
2098,2,4,46236.0,44975.3,1,0,0
2098,0,3,46472.4,99725.3,1,0,0
1718,2,1,1005.3,27772.7,5,11,38565384
1105,2,1,228.3,16793.1,0,4,0
1733,2,4,2859.0,19293.6,1,0,0
2013,0,3,39869.4,56269.1,1,0,0
1472,2,4,14.6,5230.0,6,0,0
1649,2,1,3869.4,22399.4,5,10,77737500
496,2,1,5796.5,36826.0,5,7,84714500
1005,2,4,14.6,34443.3,6,0,0
1303,2,4,1900.0,44046.1,1,0,0
1500,2,4,14.6,99349.6,6,0,0
2168,0,2,3300.0,33095.5,1,3,28537558
1460,0,0,280.9,75485.2,7,0,0
1646,2,1,2489.0,31149.8,5,2,51309636
1374,2,4,14.6,18366.6,6,0,0
1509,2,4,14.6,3043.1,6,0,0
1846,2,4,4725.5,13166.3,1,0,0
2047,2,4,45745.0,71780.8,1,0,0
1829,2,4,8102.0,66955.6,1,0,0
380,0,0,148.8,32176.5,7,0,0
1837,0,0,269.3,58370.1,7,0,0
1550,2,4,19620.1,42414.1,1,0,0
1831,0,2,5869.6,21265.6,2,11,40089920
2006,2,1,5841.1,51857.6,5,13,13983397
380,2,1,1409.9,62949.1,0,5,13396400
1892,0,3,16227.9,35087.5,1,0,0
1890,2,4,2813.8,26836.9,1,0,0
1349,2,1,7888.3,47396.0,3,1,72643704
1915,0,3,14054.4,52119.4,1,0,0
488,2,4,295.8,20658.9,1,0,0
1863,2,1,2000.2,25995.7,5,11,75166840
2108,2,4,1812.2,50890.0,1,0,0
1589,0,3,302.4,40803.2,1,0,0
2065,0,3,13136.6,23664.3,1,0,0
2006,2,4,14.6,76849.0,6,0,0
724,0,3,7168.4,19950.5,1,0,0
1565,2,1,2190.9,20072.8,1,9,40557930
881,0,2,4768.8,824.9,2,9,36619976
2088,2,1,1081.0,71303.8,0,12,42144944
2057,2,1,210.9,18696.2,3,4,30947384
1429,0,0,135.4,32259.5,7,0,0
1620,2,4,17438.2,45257.3,1,0,0
1505,0,0,179.0,34643.9,7,0,0
1474,2,4,14.6,72123.5,6,0,0
1856,2,1,5815.5,26737.8,5,11,50204770
770,0,3,8963.6,32725.5,1,0,0
2137,2,4,14.6,15549.8,6,0,0
1825,0,3,37441.4,101427.9,1,0,0
1002,2,4,14.6,39634.9,6,0,0
1730,2,4,1500.0,54176.4,1,0,0
1241,0,3,859.9,13134.4,1,0,0
984,0,3,15160.7,73113.1,1,0,0
1429,2,4,2154.3,35897.6,1,0,0
2129,2,4,14.6,70586.9,6,0,0
1426,2,1,1500.0,11566.2,1,4,74752170
1733,2,4,14.6,26749.6,6,0,0
1504,2,1,4828.1,49965.2,5,11,89342610
1920,0,0,478.4,86599.0,7,0,0
1884,0,0,160.2,38838.3,7,0,0
1191,0,3,7926.8,41555.6,1,0,0
807,0,0,88.5,26197.9,7,0,0
1860,0,3,7515.2,56147.2,1,0,0
1955,0,3,11437.7,55762.2,1,0,0
2002,2,4,4255.7,14974.8,1,0,0
1863,0,2,5145.0,33700.5,2,3,45267060
1307,2,1,8279.6,73923.3,5,2,10362562
1945,2,4,1006.6,58601.8,1,0,0
1479,2,4,14.6,24403.8,6,0,0
