trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
571200,1943,1945,2,4,14.6,34464.6,6,0,0
3556249,787,1460,0,0,85.5,21802.6,7,0,0
1148303,3927,1467,2,4,2040.0,21544.3,1,0,0
3653100,3717,698,0,0,125.7,29684.5,7,0,0
441579,1500,1611,2,4,14.6,51228.4,6,0,0
3468005,3997,788,0,0,131.7,33100.4,7,0,0
1501730,5120,1715,2,1,6738.7,9934.8,8,7,4935771
881871,3004,1794,2,4,14.6,13354.0,6,0,0
96036,327,1810,2,4,4700.0,66970.2,1,0,0
3591890,1857,2129,0,0,207.6,51389.8,7,0,0
216184,734,1611,2,4,14.6,19908.4,6,0,0
126412,425,1094,2,4,14.6,24559.0,6,0,0
3619191,2681,1703,0,0,191.8,46499.2,7,0,0
1012671,3462,1615,2,4,1000.0,17407.8,1,0,0
2773179,9179,2129,2,4,14.6,38348.8,6,0,0
1401408,4774,807,2,4,6400.0,25730.7,5,0,0
430011,1460,1948,2,4,1920.0,17877.9,1,0,0
1100771,3760,139,0,3,24165.0,61159.1,1,0,0
202897,688,1915,2,4,14.6,15190.8,6,0,0
1085955,3710,1849,2,5,1100.0,28060.5,1,0,0
346550,1174,1619,2,4,7500.0,55220.7,1,0,0
8068,29,1368,2,4,14.6,30510.1,6,0,0
6998,27,1284,0,3,8627.0,22824.3,1,0,0
3557506,830,303,0,0,233.9,57114.6,7,0,0
1342088,4585,1488,2,4,3480.0,26583.3,1,0,0
3394164,11265,523,2,4,1400.0,25114.4,1,0,0
3546508,478,1307,0,0,186.7,49828.5,7,0,0
178807,604,749,2,4,5800.0,34868.9,1,0,0
413301,1404,1944,0,3,13400.0,81209.4,1,0,0
1165302,3993,2051,0,3,20015.0,84262.6,1,0,0
434742,1477,521,2,1,2100.0,20026.7,1,8,39149236
3533896,102,1033,0,0,146.8,35317.7,7,0,0
368733,1253,1653,2,4,17600.0,39710.3,1,0,0
603043,2052,1635,2,4,24900.0,32353.0,1,0,0
366247,1245,1836,2,4,2600.0,31085.9,1,0,0
3631771,3064,788,0,0,100.9,29196.8,7,0,0
3460200,348,1307,0,0,188.0,45354.6,7,0,0
16196,54,2006,2,4,14.6,23243.5,6,0,0
119258,400,788,2,4,14.6,32927.2,6,0,0
3437902,493,2159,0,0,120.9,29145.6,7,0,0
499719,1702,2109,0,3,8134.0,25916.3,1,0,0
928915,3166,831,2,1,3702.8,23741.6,8,11,16657728
655537,2241,1466,2,1,16.0,46689.0,3,11,84126734
1123070,3835,1454,2,4,12800.0,39583.5,1,0,0
76921,255,2062,2,4,14500.0,49888.8,1,0,0
588208,2002,766,0,2,6060.0,23528.0,2,6,9670401
178616,604,1162,0,3,8412.0,38270.5,1,0,0
542300,1844,373,2,1,2161.0,19697.4,1,3,32871842
609264,2074,1524,0,3,23271.0,48646.9,1,0,0
1301573,4445,1915,2,4,14.6,34634.8,6,0,0
1921355,6511,1884,2,4,14.6,18705.0,6,0,0
3621345,2747,1033,0,0,138.8,30995.9,7,0,0
216929,738,589,2,1,970.0,61371.5,5,3,52158653
453512,1540,1837,2,4,600.0,61129.9,1,0,0
665151,2271,1800,2,1,2032.0,19586.8,1,4,39753556
245650,843,2112,2,1,128.0,15415.0,0,12,32156717
3457838,10266,1519,0,0,204.9,38318.6,7,0,0
1599163,5428,910,2,4,14.6,3217.4,6,0,0
283245,972,1550,2,4,14.6,14964.2,6,0,0
945866,3225,378,0,3,20258.0,57915.7,1,0,0
171201,574,1827,2,4,8100.0,33255.6,1,0,0
742931,2536,1368,2,4,14.6,24595.0,6,0,0
3635468,3179,1460,0,0,134.3,36922.2,7,0,0
306743,1046,1064,2,4,1920.0,26981.0,1,0,0
546907,1861,482,2,4,13200.0,37571.2,1,0,0
1610890,5472,466,0,3,4345.0,30689.3,1,0,0
1080965,3691,1682,2,1,3267.0,19263.4,5,1,56120270
1044562,3571,1125,2,4,14.6,18332.0,6,0,0
278852,954,1612,0,3,200.0,37996.7,1,0,0
451947,1536,1715,0,2,25609.0,58766.8,1,9,51120805
1291551,4414,590,2,4,3200.0,12152.3,1,0,0
712584,2435,744,2,4,5100.0,36218.4,1,0,0
1693814,5740,1096,2,4,16800.0,13513.0,1,0,0
280268,960,1531,2,1,3151.0,41009.9,8,13,8817315
395364,1344,1825,2,4,100.0,79925.6,6,0,0
255613,878,1641,2,4,14.6,29080.4,6,0,0
1108614,3786,1777,1,4,18337.0,67450.1,1,0,0
3660588,3943,1246,0,0,13.4,9073.5,7,0,0
1342080,4585,2184,2,5,1800.0,51908.9,1,0,0
1270935,4346,1281,2,1,3067.0,99258.7,0,1,19900185
203236,689,1713,2,1,16.0,16912.3,0,5,93874132
1126888,3849,1580,2,4,14.6,53253.4,6,0,0
804004,2739,782,0,3,800.0,22604.3,1,0,0
390745,1329,1617,2,1,5081.0,32305.9,0,1,48227208
3624045,2830,1856,0,0,143.9,23099.5,7,0,0
459807,1565,649,0,3,4633.0,26293.9,1,0,0
183593,624,1827,1,4,7216.0,60886.8,1,0,0
384473,1306,1131,2,1,1888.0,38713.2,3,3,58231496
212049,719,1044,2,4,1500.0,22176.4,1,0,0
770314,2628,420,2,4,52300.0,67091.0,1,0,0
846223,2881,923,2,4,4200.0,32075.2,1,0,0
3314753,11013,1715,2,1,4579.0,62306.8,8,13,91721045
1166645,3998,2073,2,4,3480.0,23321.2,1,0,0
186735,632,1733,2,4,14.6,18829.1,6,0,0
775973,2647,129,0,3,12015.0,40627.6,1,0,0
935184,3192,1497,0,3,10012.0,31804.2,1,0,0
1548150,5267,1316,2,4,45000.0,63209.9,1,0,0
621397,2121,857,0,3,22121.0,64462.1,1,0,0
342213,1161,471,2,4,2480.0,21737.9,1,0,0
651835,2227,746,2,4,23500.0,45686.2,1,0,0
1155394,3953,1991,2,4,1500.0,90201.3,1,0,0
1009528,3448,1477,2,4,1500.0,23373.3,1,0,0
139036,465,211,2,4,14.6,30946.3,6,0,0
95936,327,1504,2,1,3805.0,51982.1,0,5,47999680
238608,815,1764,2,4,14.6,20082.0,6,0,0
644820,2201,1123,2,4,270.0,17051.8,1,0,0
719539,2464,770,2,1,4681.0,35109.9,0,6,74763947
3443958,1804,1460,0,0,282.8,88150.3,7,0,0
2780814,9203,177,2,4,4700.0,27901.3,1,0,0
3445427,377,668,0,0,168.8,32003.6,7,0,0
815858,2779,1379,0,3,17308.0,59161.9,1,0,0
542274,1844,1771,0,2,3242.0,40708.7,1,10,42988401
276457,946,2115,2,4,17300.0,33179.3,1,0,0
3584011,1630,1945,0,0,82.8,21159.8,7,0,0
3568153,1136,729,0,0,267.8,47673.6,7,0,0
535265,1823,1616,2,1,2347.0,21164.6,5,9,10427672
3574261,1329,1825,0,0,64.2,14996.6,7,0,0
416481,1413,1863,2,1,620.0,27552.9,3,10,30746954
3677691,6688,2159,0,0,184.1,44094.7,7,0,0
964485,3287,1199,0,3,21936.0,46721.0,1,0,0
3557767,839,880,0,0,200.4,50573.4,7,0,0
493281,1682,2006,2,4,14.6,45908.5,6,0,0
3651955,3683,1915,0,0,243.6,48599.4,7,0,0
3619364,2687,2068,0,0,102.7,23316.7,7,0,0
3450526,4462,1915,2,4,0.7,7497.0,4,0,0
396493,1349,1619,0,2,6529.0,19699.2,2,6,44228279
3532400,57,941,0,0,135.2,38249.3,7,0,0
715902,2451,1819,2,4,14300.0,32472.9,1,0,0
131473,441,1461,2,4,7500.0,49365.5,1,0,0
2967268,9828,2136,2,4,6100.0,54733.0,1,0,0
3454998,7774,1307,0,0,123.8,38075.2,7,0,0
839076,2857,1952,0,3,21159.0,81939.7,1,0,0
201967,686,1382,2,1,2875.0,26833.7,0,8,92192554
1056358,3612,1798,2,4,3680.0,56523.5,1,0,0
575301,1959,2082,2,1,2975.0,38471.7,5,13,8956242
1090773,3728,864,2,4,10600.0,28186.1,1,0,0
3631908,3068,1491,0,0,62.7,15900.4,7,0,0
369888,1257,2037,2,4,14.6,41830.7,6,0,0
85339,286,2068,2,4,14.6,22735.6,6,0,0
3489453,7523,819,0,0,101.5,27896.6,7,0,0
796217,2712,2168,2,1,2976.0,44514.9,5,3,14783954
2489711,8212,1492,2,5,1400.0,65788.7,1,0,0
3519418,10220,2006,0,0,25.4,-466.3,7,0,0
3327463,11054,2075,0,2,14892.0,35535.7,1,4,66801631
236459,808,917,0,3,15420.0,15620.0,1,0,0
740647,2528,728,2,4,1040.0,21212.5,1,0,0
235587,804,1804,2,1,682.0,43828.5,0,1,77494382
855315,2914,1703,2,4,14.6,37058.5,6,0,0
122815,412,1368,2,4,14.6,69339.8,6,0,0
606199,2063,1990,2,4,2400.0,47817.8,1,0,0
1051544,3596,1253,0,3,27697.5,52592.6,1,0,0
162514,543,1227,2,1,1086.0,22036.6,0,9,32736635
2979045,9869,862,0,3,22184.0,48796.7,1,0,0
217028,738,1404,2,1,82.0,92763.7,0,8,91551339
1793914,6083,1561,2,4,10000.0,40124.9,5,0,0
3558815,866,545,0,0,144.4,37600.6,7,0,0
1124667,3840,984,2,4,3700.0,26609.9,1,0,0
365653,1242,2083,0,3,7500.0,53943.9,1,0,0
601889,2050,461,2,1,5542.0,48439.9,0,12,28735864
113212,381,1856,2,4,14.6,20419.6,6,0,0
2539493,8381,1572,0,3,16368.0,41061.2,1,0,0
875145,2981,1951,0,3,1700.0,14504.4,1,0,0
490686,1674,1733,2,4,14.6,44921.3,6,0,0
678851,2319,1652,2,1,9510.0,29300.7,5,10,46060675
249197,855,2131,2,4,4700.0,61550.2,1,0,0
1180572,4047,2098,2,4,30.0,40196.5,6,0,0
743661,2539,1904,2,4,1100.0,20935.0,1,0,0
210858,716,1262,2,4,23700.0,40644.8,1,0,0
20966,69,1825,2,4,14.6,30067.3,6,0,0
1387407,4727,1073,2,4,34400.0,57105.4,1,0,0
1040543,3558,1283,2,1,152.0,35574.6,0,6,9583253
3650828,3650,1215,0,0,179.1,41606.4,7,0,0
78417,261,1715,0,2,3851.0,17637.7,1,3,65610498
3462038,2399,972,0,0,96.3,25990.1,7,0,0
205998,700,985,0,3,4144.0,25348.3,1,0,0
151249,505,2015,0,2,3332.0,17676.0,1,2,74938672
3465862,3480,333,0,0,117.2,34609.2,7,0,0
1161151,3976,1556,0,2,6453.0,25221.0,2,9,14451557
653610,2235,2016,2,1,3730.0,29862.8,5,2,65763521
219534,746,1307,2,4,14.6,26014.8,6,0,0
320008,1093,1498,2,1,10261.0,40398.5,5,3,21858203
3648375,3582,1491,0,0,78.7,17672.1,7,0,0
659969,2253,711,2,1,2944.0,31564.4,5,8,60593241
1158212,3965,1053,0,3,9700.0,10283.8,1,0,0
685334,2340,2129,2,4,14.6,35435.7,6,0,0
202427,687,2165,2,1,1444.0,18530.8,5,11,3712326
1879627,6363,1491,2,4,14.6,54682.7,6,0,0
764947,2613,1443,2,1,941.0,29721.7,5,10,6268191
943559,3218,2129,2,4,14.6,20310.6,6,0,0
2042895,6924,2159,2,4,14.6,37183.9,6,0,0
753084,2569,1281,2,1,1871.0,19769.0,0,5,14173150
634415,2167,1077,2,4,4320.0,53267.2,1,0,0
3464718,3106,1794,0,0,224.4,62841.0,7,0,0
71232,237,2038,2,4,2600.0,14745.0,1,0,0
79498,266,1484,2,4,4200.0,63033.2,1,0,0
576795,1965,1171,0,3,6088.0,11041.6,1,0,0
692101,2365,793,0,2,5113.0,25555.4,2,5,60613775
700537,2397,1889,2,1,3113.0,16588.5,5,13,20025152
363762,1236,1338,2,4,14.6,51741.0,6,0,0
843368,2870,2111,2,4,3240.0,31730.4,1,0,0
