trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
896,2,1,1894.2,26558.5,0,7,50963450
1895,2,4,14.6,25022.9,6,0,0
1060,2,4,14.6,40346.1,6,0,0
1892,2,1,850.6,27071.6,0,1,81677240
395,0,0,59.3,25429.8,7,0,0
1602,2,1,2182.5,23902.7,3,13,10630592
2103,2,4,14.6,17160.4,6,0,0
697,2,1,2942.7,30521.2,5,7,0
402,0,0,126.8,32986.2,7,0,0
1321,0,2,3355.7,25897.8,1,7,83574310
2006,2,1,9663.5,14862.4,5,3,36396444
1556,2,4,6282.6,55799.8,1,0,0
2079,2,4,2190.5,13185.7,1,0,0
1435,0,0,220.8,50219.3,7,0,0
1037,2,4,3183.3,38809.2,1,0,0
1764,2,4,26712.1,46385.7,1,0,0
2006,2,1,3825.1,47234.1,5,12,56008290
816,0,0,154.1,36218.8,7,0,0
2067,2,4,14.6,26260.6,6,0,0
484,2,4,5896.2,37279.5,1,0,0
1926,2,4,18941.4,79747.5,1,0,0
1372,2,4,14.6,30627.9,6,0,0
972,0,2,5712.6,23211.0,2,8,30781378
1856,0,3,21339.5,80247.7,1,0,0
192,0,3,337.9,33831.5,1,0,0
1945,2,4,2672.3,33204.2,1,0,0
1126,0,0,150.0,35692.8,7,0,0
1703,0,0,77.8,14905.4,7,0,0
1021,2,4,14.6,47822.3,6,0,0
2159,2,4,11401.3,44320.7,1,0,0
2102,0,3,5519.0,66386.6,1,0,0
1349,2,4,14.6,77657.8,6,0,0
1030,2,1,4978.6,37091.2,5,1,79440520
2119,2,4,2959.5,14110.0,1,0,0
694,2,1,12651.5,43581.4,5,1,64218004
1703,0,0,267.5,87729.4,7,0,0
1550,0,0,142.7,33803.8,7,0,0
2097,2,4,14.6,34944.8,6,0,0
570,2,4,14454.5,38711.7,1,0,0
1580,0,0,124.8,43797.2,7,0,0
2127,2,1,6285.1,19696.5,5,12,77730450
1884,0,0,117.7,30783.2,7,0,0
1971,0,3,28457.9,71491.4,1,0,0
1418,2,1,6147.0,24295.4,5,11,41649788
2068,2,4,22529.7,82820.2,1,0,0
390,2,4,14.6,17576.5,6,0,0
1591,0,0,211.1,52805.5,7,0,0
1871,2,5,703.4,28194.1,1,0,0
2077,2,4,3868.8,6124.8,1,0,0
1815,2,1,181.6,22121.5,3,4,9827635
1787,2,4,14.6,39883.0,6,0,0
1071,0,3,9661.8,66094.2,1,0,0
1160,2,1,6051.8,40254.3,8,1,80188930
1528,2,1,1168.0,40405.8,3,13,19892518
1460,2,4,14.6,21444.1,6,0,0
813,0,3,5808.1,19960.2,1,0,0
1465,2,4,2800.0,19754.5,1,0,0
1465,0,0,211.7,53093.6,7,0,0
1460,0,2,18970.0,45835.9,1,8,65146016
2164,2,1,1408.2,49951.7,5,3,81103576
1531,2,4,1901.1,15389.5,1,0,0
1839,0,3,15376.8,36069.7,1,0,0
2017,2,4,14.6,64561.9,6,0,0
466,0,3,4537.9,24543.5,1,0,0
2129,0,0,99.5,27978.1,7,0,0
1996,2,1,4241.9,12942.0,5,9,53064380
1543,0,3,3495.0,16464.9,1,0,0
984,2,4,2158.0,26353.8,1,0,0
1764,0,0,195.0,46659.5,7,0,0
1869,2,4,5287.9,49395.5,1,0,0
1868,2,1,5687.9,16397.8,5,4,49119690
848,0,3,15421.8,47395.6,1,0,0
2132,2,1,683.1,18438.2,3,3,36975630
1367,2,4,903.9,15306.4,1,0,0
1778,2,1,802.8,12149.6,0,7,62454950
1884,0,0,83.3,24416.7,7,0,0
1491,2,1,1092.6,44924.0,0,10,85422830
715,0,0,79.3,20206.7,7,0,0
1764,0,3,17034.7,50307.4,1,0,0
1808,0,2,25277.6,44308.4,1,1,85916020
2135,0,3,6687.7,22834.1,1,0,0
2102,2,4,14.6,70594.5,6,0,0
968,2,4,2032.8,97875.1,1,0,0
919,2,4,6571.2,20164.2,1,0,0
538,0,3,6364.2,37134.3,1,0,0
1119,2,1,6322.5,33718.3,5,7,0
1617,0,3,227.3,51089.5,1,0,0
1991,0,3,35273.4,55819.6,1,0,0
1771,2,4,1283.5,66650.2,1,0,0
1976,0,0,143.0,35604.8,7,0,0
1105,2,1,14336.2,69622.8,5,11,82954690
2167,2,4,2391.9,65562.4,1,0,0
724,0,0,91.8,21469.7,7,0,0
2129,2,1,496.3,67134.8,0,8,54649600
1429,2,4,14.6,16258.9,6,0,0
1333,2,1,1511.8,27332.1,5,8,77325730
1735,2,4,4480.9,51175.1,1,0,0
1196,0,3,22653.2,13605.6,1,0,0
1672,2,4,14.6,23989.8,6,0,0
1470,2,1,3192.9,31463.0,5,8,26067766
1621,0,3,38307.9,61337.0,1,0,0
1212,0,0,175.9,37996.7,7,0,0
363,0,0,702.6,71663.2,7,0,0
737,0,3,11481.0,58877.3,1,0,0
776,2,4,1005.9,21086.7,1,0,0
1761,0,3,11330.1,52629.9,1,0,0
1769,1,4,3234.7,20314.1,1,0,0
1817,2,1,265.8,58688.7,3,8,90992216
1945,0,3,14814.5,58673.6,1,0,0
1626,2,4,4077.2,59140.8,1,0,0
2168,2,4,14.6,47727.6,6,0,0
1219,0,2,4169.1,14787.2,2,6,13049826
1794,2,4,14.6,14882.9,6,0,0
1116,0,3,5115.3,21655.8,1,0,0
1962,0,0,99.3,15598.2,7,0,0
1703,0,0,246.6,45438.2,7,0,0
2108,2,1,3228.5,26606.6,8,2,46004280
1205,0,0,14.6,12047.7,7,0,0
974,2,4,2232.6,27715.6,1,0,0
1856,2,1,1680.6,18299.1,1,1,65192572
2037,0,0,260.7,86481.6,7,0,0
1575,2,4,14.6,26527.4,6,0,0
2019,0,0,199.5,44867.4,7,0,0
1973,0,0,305.7,101655.9,7,0,0
1957,2,4,1012.0,31502.6,1,0,0
1915,2,4,11200.9,42169.4,1,0,0
897,2,1,14.6,63065.4,0,7,60414460
1802,2,1,1997.5,17502.7,5,4,19774534
1948,2,4,14.6,76978.4,6,0,0
1945,2,1,9157.2,35012.3,5,6,51924548
743,2,4,14.6,13770.4,6,0,0
