trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
2109.3845,2,4,5218.609,39947.65,1,0,0.0
1191.0347,0,0,109.83055,26894.13,7,0,0.0
677.9302,0,0,205.30516,31375.002,7,0,0.0
1672.0,0,0,81.56418,21950.008,7,0,0.0
1288.601,0,3,2400.0,21411.62,1,0,0.0
576.0,0,2,5615.5537,20489.48,2,9,89591016.0
1705.1783,2,1,4137.9033,49515.395,5,1,95163840.0
1672.0957,0,2,7676.163,20157.352,2,10,26366058.0
1072.7548,2,1,2841.4558,24678.459,5,5,16790434.0
1888.9225,2,4,14.6,29909.469,6,0,0.0
1621.4377,2,4,2300.0,25771.62,1,0,0.0
1764.0,2,1,2004.997,10624.994,5,9,40425570.0
2006.0,2,1,1700.0,24491.95,5,2,48048772.0
889.8824,0,3,28708.336,74755.87,1,0,0.0
1985.3667,2,4,14.6,45781.58,6,0,0.0
1825.0,2,1,10555.969,12351.714,5,11,18564468.0
550.58624,2,4,14.6,68409.38,6,0,0.0
2011.9048,2,1,2178.6206,53752.336,5,13,39207610.0
858.9483,0,3,31294.266,52132.85,1,0,0.0
745.82587,0,0,152.88515,34076.49,7,0,0.0
1591.608,0,3,8948.172,33443.914,1,0,0.0
707.9357,2,4,1993.3396,30207.393,1,0,0.0
1678.8787,2,4,4896.8857,33047.445,1,0,0.0
1794.0,0,0,224.69183,64592.605,7,0,0.0
2074.4082,2,4,14.6,21708.064,6,0,0.0
1185.0,0,0,148.32591,38629.625,7,0,0.0
820.67365,2,1,3889.5127,12040.266,5,11,47763200.0
1136.6609,2,4,1303.198,28930.713,1,0,0.0
2075.2075,0,3,7182.666,36957.324,1,0,0.0
1185.0,2,5,2623.9927,64218.39,1,0,0.0
1222.7354,2,4,788.59546,14323.165,1,0,0.0
795.459,0,0,55.652103,15447.703,7,0,0.0
1124.8247,2,4,10664.124,47219.23,1,0,0.0
1037.9912,0,3,22856.133,67919.76,1,0,0.0
1672.0236,2,4,2842.3647,38200.582,1,0,0.0
