trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1899,0,3,3585.1,41595.9,1,0,0
1923,0,0,73.4,19665.1,7,0,0
1889,2,1,5608.4,34826.2,0,12,3707502
2159,2,4,14.6,99192.3,6,0,0
1959,2,4,960.0,14678.6,1,0,0
1063,2,1,2279.7,19872.3,0,4,62493024
2114,0,0,403.9,88091.5,7,0,0
1882,2,1,1280.4,60734.6,5,6,67607300
1884,2,4,7800.0,-41.5,1,0,0
1093,2,1,3849.7,13275.7,5,2,10653136
1825,2,4,14.6,23450.6,6,0,0
1786,2,1,6223.2,42690.2,5,6,4429900
1356,2,4,2402.7,16728.9,1,0,0
1764,0,3,11772.8,29981.7,1,0,0
675,0,2,54027.7,109321.8,1,6,69121496
432,2,4,316.7,14440.3,1,0,0
1225,0,3,8399.0,15957.2,1,0,0
1842,2,4,21302.9,52772.0,1,0,0
2073,0,0,96.4,22039.9,7,0,0
1685,2,4,19474.1,30678.2,1,0,0
1399,0,3,15967.5,46564.1,1,0,0
1588,0,3,8052.9,60157.7,1,0,0
1901,2,1,4180.5,43709.4,8,3,52113210
668,2,4,14.6,22836.2,6,0,0
1297,2,1,7508.2,19123.6,5,4,9472415
1710,2,4,4687.2,48306.2,1,0,0
1878,0,3,23638.2,74757.4,1,0,0
1945,2,1,817.0,16208.7,5,3,10557433
1436,2,4,14.6,11335.3,6,0,0
668,0,0,116.1,30369.6,7,0,0
978,0,0,103.9,21347.2,7,0,0
1865,0,2,10390.4,32067.9,1,12,16504459
2006,2,4,8350.3,53111.1,1,0,0
1290,0,0,112.8,27429.0,7,0,0
126,0,2,5377.6,7153.7,2,5,47518970
1397,2,4,1819.9,43597.5,5,0,0
2109,2,1,800.0,43014.4,0,10,62757460
1672,0,2,3302.8,25935.2,1,3,51347600
1756,2,4,14.6,49610.8,6,0,0
1616,0,3,13299.6,18347.8,1,0,0
2128,2,4,14.6,-3697.7,4,0,0
1558,0,3,26616.8,45780.0,1,0,0
1768,2,4,3958.2,26927.0,1,0,0
1373,2,4,14.6,26168.5,6,0,0
393,2,4,1213.0,23854.6,1,0,0
1611,2,1,370.1,20992.4,0,6,81097080
1491,0,0,320.2,68662.8,7,0,0
1323,2,4,174.7,24788.7,1,0,0
2076,2,4,14.6,22152.4,6,0,0
1641,0,3,19197.7,46687.2,1,0,0
1847,0,0,41.8,12335.8,7,0,0
2075,0,0,394.5,105251.7,7,0,0
1460,0,3,24030.6,71922.9,1,0,0
1672,2,4,5671.0,42309.8,1,0,0
1195,2,1,1792.0,16287.4,0,5,70321090
2129,0,0,106.9,28265.6,7,0,0
2006,0,3,6994.7,57561.6,1,0,0
387,0,0,68.1,9152.5,7,0,0
586,0,3,16543.3,47852.2,1,0,0
1136,0,0,102.1,19534.9,7,0,0
407,2,4,9426.7,26416.9,1,0,0
433,0,0,209.7,59631.0,7,0,0
2040,2,4,14.6,29864.1,6,0,0
2019,2,4,2951.9,33609.3,1,0,0
862,0,3,10753.0,26025.4,1,0,0
1915,2,4,960.0,43135.1,1,0,0
309,2,4,9491.1,40173.6,1,0,0
2159,2,1,3601.1,51873.2,0,3,32347460
2142,0,0,153.7,43491.2,7,0,0
1075,0,3,1800.0,15979.1,1,0,0
2167,0,0,149.4,46148.1,7,0,0
555,2,4,23260.2,52374.9,1,0,0
1794,0,3,11180.9,25486.4,1,0,0
1884,2,4,797.6,50197.2,1,0,0
735,0,2,5883.1,24647.4,2,4,46416156
1794,2,1,5700.0,54172.7,8,5,83104390
1094,2,4,2367.6,32977.3,5,0,0
1955,0,3,11077.3,27518.2,1,0,0
1986,2,1,3269.2,34581.3,5,2,60679104
1770,2,1,3000.0,46775.6,0,3,81559460
1852,2,1,1824.9,19036.5,1,5,7331806
1952,2,4,500.7,26814.2,1,0,0
1429,2,4,14.6,21505.7,6,0,0
2110,2,4,14.6,22361.2,6,0,0
2159,2,4,3076.6,16627.5,1,0,0
275,2,4,21874.6,33617.4,1,0,0
1825,2,1,3404.8,37068.7,5,9,4518159
1945,2,4,14.6,50157.2,6,0,0
436,2,4,14.6,70417.8,6,0,0
2007,2,4,697.3,20586.7,1,0,0
765,2,4,7399.3,30354.6,1,0,0
1045,2,4,404.5,35301.2,1,0,0
2074,2,1,2600.0,4882.7,3,10,80140600
1579,2,1,5098.4,37154.9,5,9,21008692
2139,0,0,89.0,20999.8,7,0,0
1738,2,4,14.6,78452.0,6,0,0
2172,2,1,106.8,15347.5,0,13,6788855
1984,0,0,77.2,27446.1,7,0,0
784,2,4,1920.0,20791.0,1,0,0
1616,2,1,4843.7,20378.2,5,1,57272280
1437,2,1,13368.5,30830.5,5,4,24261768
429,0,0,100.0,27570.6,7,0,0
1611,0,3,1284.7,15992.5,1,0,0
1856,2,4,14.6,44486.5,6,0,0
1928,2,4,12090.5,98015.8,1,0,0
2185,2,4,5100.0,45251.7,1,0,0
1988,2,4,4206.4,18698.4,1,0,0
1837,2,1,133.1,45710.1,3,5,57334530
1636,2,4,217.6,22164.6,1,0,0
2045,1,4,4229.1,84282.2,1,0,0
1976,2,4,14.6,37293.9,6,0,0
1402,0,0,29.9,7055.1,7,0,0
1033,2,4,5501.7,24982.7,1,0,0
1894,2,4,84.8,40051.7,6,0,0
2147,2,1,1300.0,62841.9,0,8,44245492
1732,0,0,273.9,58921.0,7,0,0
2015,2,4,14.6,22224.9,6,0,0
2184,0,3,21246.2,69332.1,1,0,0
1585,2,4,1700.0,60792.8,1,0,0
2116,0,2,5709.6,17510.1,2,9,59688628
2129,2,4,1316.7,24871.4,1,0,0
1680,2,4,62.1,63994.3,6,0,0
1825,2,1,6056.3,53505.9,5,5,16060517
1431,2,4,4630.4,40753.0,1,0,0
311,2,4,693.8,21880.1,1,0,0
1185,0,3,6169.0,24346.2,1,0,0
1926,0,2,6483.5,46201.6,2,8,34875780
1697,2,1,9051.2,50286.0,5,6,19185188
1154,2,4,2007.1,31607.8,1,0,0
416,0,3,43316.2,108659.6,1,0,0
484,2,4,14.6,47036.8,6,0,0
1414,0,2,6214.0,18998.3,2,7,27183860
2190,0,0,682.7,99361.7,7,0,0
1046,0,0,163.3,39225.7,7,0,0
1377,0,2,5661.8,18794.2,2,3,73693096
1587,2,1,6888.2,44364.0,5,3,97136264
760,0,0,168.6,25732.7,7,0,0
2074,2,4,14.6,55615.6,6,0,0
825,0,3,20014.2,49670.2,1,0,0
648,0,2,5524.1,29555.0,2,7,75902790
1957,0,3,12809.3,50229.6,1,0,0
1869,1,4,22534.9,39715.1,1,0,0
771,2,4,14.6,23671.9,6,0,0
847,2,4,10480.6,55428.2,1,0,0
1460,2,4,983.1,27702.8,1,0,0
951,0,3,440.8,-1227.4,1,0,0
1773,0,0,113.3,24042.7,7,0,0
2108,0,0,158.8,37522.3,7,0,0
1669,2,1,12981.4,63751.3,5,12,45438940
2137,2,5,3029.8,40570.2,1,0,0
1852,2,1,4555.5,2909.6,0,9,88140250
1580,0,3,22651.6,91255.1,1,0,0
1766,0,0,74.9,16202.8,7,0,0
1834,0,3,28370.5,61877.8,1,0,0
1543,2,4,32866.6,59416.4,1,0,0
1951,2,1,1699.0,23774.9,5,1,31844416
1861,2,4,13801.7,15923.7,1,0,0
1467,2,4,11533.9,50581.8,1,0,0
1564,1,4,10641.5,72760.7,1,0,0
2098,2,1,5492.5,54534.1,5,11,64124090
1976,2,4,3447.9,20172.7,1,0,0
1852,2,4,8700.0,46039.6,1,0,0
1473,2,1,4375.1,42802.0,8,2,35292624
1515,2,4,15310.6,42886.6,1,0,0
1500,2,4,3460.4,55553.6,1,0,0
1370,0,2,27113.9,50127.2,1,11,8712669
2006,0,0,296.4,86836.2,7,0,0
1379,2,4,14.6,41736.2,6,0,0
1723,2,4,14.6,47960.2,6,0,0
1773,2,5,724.2,44319.1,1,0,0
2165,2,4,600.0,95489.0,1,0,0
2028,2,4,14.6,27960.3,6,0,0
760,0,0,134.8,29006.3,7,0,0
1970,2,4,14.6,70522.2,6,0,0
1869,0,3,1145.1,59916.8,1,0,0
1801,0,0,137.0,38608.9,7,0,0
1771,2,4,14.6,61653.5,6,0,0
2157,0,3,34845.1,56517.3,1,0,0
1074,2,4,10006.9,54252.4,1,0,0
849,2,4,14.6,49887.9,6,0,0
1924,2,4,5391.5,30450.4,1,0,0
1884,0,3,5700.0,36339.9,1,0,0
1550,2,1,151.7,35842.7,5,11,71486900
478,2,1,1387.8,19747.5,5,10,38556076
1883,0,0,202.4,49428.1,7,0,0
1167,2,1,1580.9,33999.7,0,1,44617356
1776,2,4,14.6,31201.4,6,0,0
1154,2,4,14.6,36097.3,6,0,0
2162,0,2,27176.1,48643.2,1,5,56498160
1646,2,4,14.6,25504.2,6,0,0
1636,2,4,6965.5,37965.7,1,0,0
1983,2,1,3848.5,24061.3,5,1,38090812
1993,2,4,14.6,28166.4,6,0,0
700,2,4,2906.5,390.9,1,0,0
1896,2,1,5429.2,36542.2,5,3,10488327
698,0,3,12985.5,38869.0,1,0,0
2018,2,1,727.1,75563.4,3,11,40020990
1276,0,3,18479.6,68995.7,1,0,0
2068,0,0,132.6,33944.2,7,0,0
631,2,1,1287.5,15308.3,0,7,90126180
1833,0,0,135.5,36073.5,7,0,0
1652,2,5,1090.3,46710.9,1,0,0
1085,0,3,24196.9,43267.4,1,0,0
1870,2,4,7737.0,14715.0,1,0,0
1703,0,3,6960.7,47223.0,1,0,0
1491,2,4,14.6,13813.6,6,0,0
1897,2,1,547.6,96726.1,0,7,60561464
1707,2,1,1553.7,54536.9,0,12,49135796
1641,2,4,3495.8,11190.1,1,0,0
700,2,4,14941.6,58712.1,1,0,0
1586,2,4,14.6,37189.1,6,0,0
1825,2,4,1498.4,48061.7,1,0,0
1564,2,1,857.0,23985.5,3,1,32786856
1233,2,4,4894.7,16396.4,1,0,0
1471,0,3,1128.3,31657.5,1,0,0
1550,0,3,14977.7,59533.1,1,0,0
1955,2,4,2298.5,51118.0,1,0,0
2098,1,4,20860.3,28943.7,1,0,0
771,0,0,70.7,14761.0,7,0,0
529,2,4,14.6,27479.3,6,0,0
1022,2,1,2400.0,18469.9,5,11,84252200
1579,2,4,106.7,53898.9,6,0,0
2049,2,4,14.6,44121.3,6,0,0
1094,0,0,150.3,39143.1,7,0,0
1103,2,1,350.9,37832.6,5,1,73037590
548,2,1,200.0,59497.5,5,7,60957664
400,2,4,3024.5,42950.0,1,0,0
1255,0,0,86.1,21475.9,7,0,0
760,0,0,1.8,21963.5,7,0,0
1034,2,4,1469.6,23938.6,1,0,0
1117,2,4,30.0,2915.8,6,0,0
333,0,0,30.0,9939.2,7,0,0
1924,2,1,1800.0,49040.8,5,3,89179890
2068,2,1,5384.8,61739.8,0,10,98209070
1976,0,0,130.2,30150.1,7,0,0
1276,2,4,14.6,77457.8,6,0,0
714,0,2,6300.0,32162.8,2,11,47084076
1641,0,3,2500.0,71951.3,1,0,0
1945,2,4,3300.0,34330.3,1,0,0
2048,2,4,6903.0,31956.2,1,0,0
1088,2,4,14.6,27194.0,6,0,0
1196,2,4,1113.9,26863.6,1,0,0
1006,2,4,14.6,23229.9,6,0,0
1460,2,4,2400.0,37363.4,1,0,0
1995,2,1,2820.0,17757.3,5,9,24431304
292,0,2,4772.8,24212.9,2,9,19841138
196,0,0,117.9,28635.9,7,0,0
1794,2,4,14.6,53314.1,6,0,0
235,0,0,124.6,52664.4,7,0,0
1775,2,4,23089.9,62486.5,1,0,0
363,2,4,1600.0,26071.4,1,0,0
698,2,4,3000.0,26735.8,5,0,0
2000,0,2,3467.7,17581.4,1,8,42341380
1691,0,0,233.2,55760.2,7,0,0
1783,2,4,1900.0,18754.3,1,0,0
1825,2,4,3315.2,30008.8,1,0,0
1008,2,4,17270.8,32177.4,1,0,0
1438,0,3,9396.0,30755.1,1,0,0
1497,2,4,14.6,25199.4,6,0,0
583,2,4,3391.0,26485.4,1,0,0
1491,0,2,7386.1,36562.7,2,4,40622492
1338,2,4,4200.0,28555.6,1,0,0
1839,2,4,14.6,32730.0,6,0,0
1223,2,4,6300.0,49407.4,1,0,0
