trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1672,2,4,14.6,17174.0,6,0,0
1754,2,4,1867.2,18079.4,1,0,0
1226,2,4,580.6,12643.7,1,0,0
1843,0,0,44.1,12337.9,7,0,0
1372,2,1,2435.6,49335.2,0,7,45703620
1805,0,3,34013.4,52252.6,1,0,0
1774,1,4,3832.4,37802.0,1,0,0
633,2,1,3124.5,16576.2,5,7,15397185
1446,2,4,13375.9,24816.9,1,0,0
728,2,1,62.9,54864.5,0,1,49161892
1936,0,0,115.1,37515.8,7,0,0
942,2,1,14.6,19227.5,0,3,2930247
1811,2,4,20577.3,63968.7,1,0,0
1836,2,1,720.5,21315.6,0,9,38451868
2005,2,4,14.6,24907.9,6,0,0
1555,2,4,1445.4,19206.1,1,0,0
2068,0,0,98.9,35179.9,7,0,0
1664,0,2,5113.5,27836.7,2,11,0
2117,2,1,1009.2,21949.3,0,8,52276110
1325,2,1,2600.7,39600.0,5,2,74082150
1742,2,1,8825.4,55329.8,5,6,47474216
2129,0,2,46447.2,95255.4,1,7,75105550
1429,2,4,47483.3,79983.8,1,0,0
1476,0,0,129.4,32399.7,7,0,0
1517,0,2,6403.6,24549.2,2,13,33931924
274,0,0,85.1,21095.3,7,0,0
2051,2,4,14.6,13099.1,6,0,0
1466,2,4,1496.1,20031.2,1,0,0
1252,2,1,722.2,23185.9,0,4,65528668
1777,2,4,4579.9,51719.0,1,0,0
637,0,3,19765.6,29680.3,1,0,0
1927,2,4,57.4,73808.0,6,0,0
1915,0,0,210.2,54434.3,7,0,0
1268,2,4,14.6,59282.4,6,0,0
1412,0,3,18058.7,60015.0,1,0,0
574,0,0,68.7,14462.6,7,0,0
1829,0,2,24925.1,44283.9,1,9,92775920
1125,2,4,210.6,31755.4,1,0,0
1103,2,4,1608.9,37714.0,1,0,0
1740,2,4,14.6,22888.2,6,0,0
1258,0,3,38880.5,77427.3,1,0,0
698,2,4,999.5,43331.5,1,0,0
1346,2,4,4689.8,25104.3,1,0,0
1037,0,0,117.1,33606.8,7,0,0
1733,2,4,18720.8,43452.2,1,0,0
1672,0,2,51795.5,110858.3,1,9,60657684
1460,0,0,178.5,46702.8,7,0,0
278,0,0,116.8,32608.4,7,0,0
882,0,2,3000.0,23106.6,1,8,74300136
1719,2,4,14.6,79129.3,6,0,0
1100,2,1,1964.1,17981.7,5,2,42868956
1003,2,4,1708.9,11915.4,1,0,0
1641,1,4,24841.4,50193.8,1,0,0
1647,2,4,335.6,27453.5,1,0,0
2005,2,1,1400.3,51874.1,5,12,53194690
1774,0,3,22008.6,71644.1,1,0,0
860,2,1,101.4,40119.1,0,9,92753430
1965,2,4,14.6,27231.8,6,0,0
312,2,4,5170.8,30406.5,1,0,0
2079,0,0,202.0,64692.5,7,0,0
1767,2,1,127.5,38113.7,0,12,9296586
1877,0,2,54733.7,118143.0,1,8,71501064
384,0,3,13517.1,39479.4,1,0,0
1193,2,1,3460.2,7786.1,5,4,5438998
1710,0,3,14057.7,31972.4,1,0,0
1281,2,4,1600.5,57612.1,1,0,0
1104,2,4,14.6,19889.4,6,0,0
1507,2,4,12680.0,66385.8,1,0,0
1651,2,4,3374.6,23048.0,1,0,0
574,2,4,267.8,18900.3,1,0,0
565,0,3,23555.3,56149.5,1,0,0
1076,2,4,14.6,23026.8,6,0,0
1956,1,4,5946.3,25228.9,1,0,0
1508,2,1,1290.5,74011.4,5,2,0
1672,0,3,20778.8,72865.9,1,0,0
1291,0,3,2882.0,44678.2,1,0,0
2143,2,4,18646.2,51745.1,1,0,0
370,2,4,8812.4,39154.5,1,0,0
1641,1,4,24454.6,90972.7,1,0,0
2050,0,0,118.3,33834.2,7,0,0
1703,2,1,11385.5,48894.6,5,4,17543882
355,0,0,120.9,29212.4,7,0,0
1347,0,3,1300.0,48228.0,1,0,0
1873,0,3,5782.8,43359.6,1,0,0
910,2,1,921.4,33604.8,0,1,35772130
1592,2,1,1311.8,42044.7,0,7,9667543
1152,2,4,1503.8,17985.1,1,0,0
1388,2,1,13149.7,33623.9,5,1,11012244
1222,1,4,5500.0,59116.8,1,0,0
1884,0,3,44485.0,101780.3,1,0,0
1043,0,0,275.9,49266.2,7,0,0
1840,0,2,3333.8,16391.1,1,6,57932200
1778,0,3,1100.0,23072.9,1,0,0
1616,2,1,3488.5,37436.5,5,13,56978684
636,0,2,5731.0,28880.8,2,7,62458092
886,2,4,3803.7,25023.3,1,0,0
668,0,0,183.2,41239.9,7,0,0
1709,0,0,88.7,26887.4,7,0,0
1733,2,1,3199.5,25545.5,5,2,98770000
1467,2,4,6890.4,34297.2,1,0,0
614,2,4,15771.6,52087.8,1,0,0
819,0,0,191.8,45368.5,7,0,0
1429,2,4,14.6,46141.6,6,0,0
880,2,4,19740.4,33829.4,1,0,0
892,2,4,14.6,22118.8,6,0,0
1849,0,0,65.7,15181.4,7,0,0
2006,2,4,20248.0,38768.9,1,0,0
1938,2,4,14.6,26105.0,6,0,0
1674,0,0,92.4,25087.1,7,0,0
2031,2,1,1800.9,44578.0,0,8,65872060
1884,0,0,215.7,55245.6,7,0,0
788,2,1,14555.2,16757.5,5,3,0
1927,0,0,322.0,88666.4,7,0,0
1437,2,4,14.6,39489.4,6,0,0
1491,0,3,13511.4,41394.9,1,0,0
1257,0,0,92.5,21617.1,7,0,0
1486,2,4,3591.5,22445.4,1,0,0
1733,2,1,261.2,29403.1,0,1,79463910
1981,0,0,62.3,19631.9,7,0,0
1764,0,2,24398.1,42510.1,1,9,81837960
362,0,3,16326.0,43651.8,1,0,0
1403,0,3,23894.0,57179.8,1,0,0
2040,0,3,24864.6,38465.3,1,0,0
1914,2,1,7322.6,11506.6,5,1,66191530
1684,0,0,35.9,12911.4,7,0,0
1610,0,3,75243.5,115135.0,1,0,0
2068,0,0,180.1,46025.7,7,0,0
433,2,4,21010.8,60885.6,1,0,0
1468,2,4,12668.1,32040.8,1,0,0
1867,0,3,8373.0,45183.1,1,0,0
1574,2,4,14.6,29290.2,6,0,0
1825,0,3,1376.0,23984.4,1,0,0
2098,0,0,261.8,113600.6,7,0,0
405,2,4,14.6,29520.6,6,0,0
1764,0,3,36630.2,58260.1,1,0,0
523,2,4,14.6,18536.2,6,0,0
1399,0,0,194.2,51147.2,7,0,0
1619,2,1,2698.2,26534.4,0,11,29535578
422,2,4,13418.5,64296.8,1,0,0
1835,0,2,46685.0,80106.4,1,13,73676840
1466,0,3,17916.7,58133.0,1,0,0
942,2,1,478.0,35722.7,5,1,99837720
2007,2,4,3099.9,27171.1,1,0,0
1429,2,4,20925.5,51995.2,1,0,0
1125,0,3,2486.3,18374.2,1,0,0
2048,2,1,1945.3,20047.8,5,8,89641080
1930,0,2,4211.9,20701.7,2,1,18913606
1338,0,0,149.5,30274.5,7,0,0
1137,2,1,4585.6,59344.1,0,11,59834990
995,0,2,4491.3,16558.5,2,2,84342824
2027,0,0,92.6,22283.7,7,0,0
1945,2,4,1294.8,51783.0,1,0,0
1345,2,4,14.6,43497.8,6,0,0
