trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
3495783,8051,423,0,0,169.7,43830.7,7,0,0
2355539,7769,1441,2,1,4085.0,71158.7,8,8,57404768
1027814,3510,1993,0,3,9793.0,62394.6,1,0,0
3438790,699,545,0,0,329.5,54046.5,7,0,0
3448901,3189,1976,0,0,174.5,35328.0,7,0,0
3556790,810,1399,0,0,106.1,26199.5,7,0,0
358925,1219,2076,0,3,5979.0,29984.5,1,0,0
353532,1201,498,0,3,15080.0,34071.4,1,0,0
281443,965,1588,0,3,4280.0,17368.9,1,0,0
3662224,4003,1825,0,0,346.4,99214.0,7,0,0
552902,1882,981,2,1,1936.0,11802.4,0,1,81505483
3663513,4260,1550,0,0,112.0,13411.1,7,0,0
621835,2122,1805,0,3,29551.0,73663.0,1,0,0
3457006,9707,668,0,0,51.9,4527.8,7,0,0
975219,3323,316,0,3,21769.0,58822.7,1,0,0
94758,322,1252,2,1,6550.0,25739.8,5,10,4537106
65107,217,1867,0,3,11076.0,25872.9,1,0,0
846065,2881,1777,0,3,6959.0,57896.4,1,0,0
884920,3015,1475,2,4,360.0,13664.3,1,0,0
912572,3111,1856,2,4,14.6,39743.5,6,0,0
3409784,11317,1835,2,4,2100.0,36238.8,1,0,0
820266,2793,1105,2,1,2301.0,20697.9,5,3,41871547
3585417,1674,1125,0,0,127.0,32004.5,7,0,0
789500,2692,1926,2,1,3386.0,36744.5,5,4,59398072
620529,2119,1863,0,3,2900.0,25314.9,1,0,0
57087,190,2139,2,1,1316.0,51047.6,0,13,50605297
1018884,3480,1906,2,4,7400.0,45083.3,1,0,0
625080,2134,1773,0,3,12653.0,41115.4,1,0,0
3094563,10266,1371,0,3,23887.0,62076.3,1,0,0
266742,913,1929,2,1,2128.0,42948.5,5,3,87569880
2384351,7861,1411,2,5,3000.0,49261.8,1,0,0
858765,2926,378,2,4,960.0,21970.0,1,0,0
388831,1322,1711,2,1,1485.0,25792.7,5,10,3167045
3620852,2734,2037,0,0,110.4,26351.8,7,0,0
2722039,9006,1094,2,4,30.0,33898.5,6,0,0
3576520,1404,2190,0,0,285.3,58637.3,7,0,0
1657634,5622,1856,2,4,14.6,44109.6,6,0,0
805493,2745,1897,0,3,19781.0,61799.0,1,0,0
3534817,127,1338,0,0,51.9,11605.1,7,0,0
62624,207,1976,2,4,14.6,13057.6,6,0,0
750074,2557,1647,2,1,2806.0,26868.6,5,13,31457412
191501,650,1665,2,4,1440.0,25477.5,1,0,0
865534,2947,1838,2,1,2228.0,26603.3,5,9,70519995
1081,4,1921,2,1,2078.0,15620.5,5,11,26693541
2314993,7637,1558,0,3,24119.0,51938.0,1,0,0
621946,2122,1448,1,4,6336.0,32212.6,1,0,0
791171,2697,401,2,4,1200.0,13908.4,1,0,0
532018,1812,1850,2,4,510.0,14589.3,1,0,0
3547676,515,1884,0,0,60.3,15250.2,7,0,0
3535442,153,1399,0,0,133.1,32862.9,7,0,0
361629,1228,2037,2,4,14.6,23422.8,6,0,0
1230981,4214,1834,0,3,45676.0,122628.2,1,0,0
276253,945,1353,0,3,12800.0,13400.0,1,0,0
1387312,4727,2073,1,4,17374.0,73293.6,1,0,0
66531,221,1428,0,3,2200.0,23934.0,1,0,0
329008,1122,1480,2,4,2800.0,22500.4,1,0,0
546814,1861,1734,2,4,2760.0,51749.7,1,0,0
15502,51,2068,2,4,14.6,65598.0,6,0,0
739122,2524,2171,2,4,1200.0,19399.1,1,0,0
22012,72,1770,2,1,2286.0,58999.4,0,10,8297068
362310,1231,1132,2,4,6600.0,27598.5,1,0,0
3509088,9203,1063,0,0,264.3,59331.5,7,0,0
282108,967,1937,2,4,37100.0,69251.7,1,0,0
1025876,3503,1008,0,3,20054.0,53128.8,1,0,0
309461,1054,1957,2,1,4736.0,27524.2,5,5,38208055
6531,26,407,0,2,24802.0,45046.1,1,4,73418420
652970,2232,1869,2,1,4916.0,36524.2,5,3,97103237
3567941,1132,1399,0,0,304.8,61912.7,7,0,0
961223,3275,1136,2,1,120.0,16953.6,5,4,91385793
257977,884,759,2,4,300.0,15943.7,1,0,0
3637960,3249,1672,0,0,68.5,10980.5,7,0,0
1106008,3778,1498,2,4,4320.0,67207.9,1,0,0
3663049,4134,1429,0,0,110.4,26122.3,7,0,0
215070,730,2090,2,4,8400.0,60268.4,1,0,0
608392,2070,1125,2,4,14.6,33296.1,6,0,0
847092,2884,308,0,3,2100.0,25271.0,1,0,0
181853,617,1915,2,4,14.6,35012.3,6,0,0
2938068,9730,1741,0,3,10694.0,36616.8,1,0,0
201877,686,825,2,1,2212.0,15823.8,5,10,30570674
126364,425,895,2,4,840.0,28627.6,1,0,0
222501,757,1317,0,3,7748.0,52564.6,1,0,0
3508999,9199,1399,0,0,55.8,12354.7,7,0,0
2423649,7990,2014,2,1,7158.0,47543.9,5,5,79489946
3640273,3316,788,0,0,118.8,31236.2,7,0,0
39514,128,746,0,3,1800.0,32915.6,1,0,0
2373281,7824,2159,2,4,14.6,10588.1,6,0,0
1621884,5505,1979,0,3,42935.0,143964.1,1,0,0
1271999,4350,1478,2,4,1680.0,77540.5,1,0,0
184260,626,372,0,3,5459.0,20088.7,1,0,0
3631249,3048,1825,0,0,9.8,24418.8,7,0,0
3531347,30,1611,0,0,105.3,17595.3,7,0,0
2378672,7844,494,1,4,12886.0,48526.3,1,0,0
870515,2965,1555,0,2,5617.0,19685.5,2,3,96382689
681669,2327,979,0,2,15714.0,37380.5,1,4,98203420
690396,2358,1765,2,4,500.0,17496.9,1,0,0
934765,3190,2138,0,3,10263.0,45138.8,1,0,0
3540464,300,1063,0,0,101.7,24699.2,7,0,0
2868193,9491,1897,0,2,43825.0,76314.4,1,9,84854560
2610961,8625,1185,2,4,14.6,54720.1,6,0,0
338155,1147,1338,2,4,14.6,47635.5,6,0,0
669728,2285,1968,2,4,1750.0,25044.7,1,0,0
259190,887,1139,2,1,3009.0,17298.0,5,3,94832020
402900,1372,1484,2,4,250.0,92819.2,1,0,0
771769,2633,1764,2,4,14.6,106775.1,6,0,0
366711,1247,1531,2,1,2077.0,102573.5,8,13,9652227
3587190,1726,1399,0,0,113.4,29419.6,7,0,0
956425,3259,1094,2,4,14.6,30459.4,6,0,0
1467535,4999,1307,2,4,14.6,45194.7,6,0,0
3596441,1990,303,0,0,17.8,16940.0,7,0,0
2502819,8261,587,2,4,4500.0,35219.0,1,0,0
327326,1118,218,0,3,7538.0,25902.0,1,0,0
3575364,1370,2006,0,0,142.8,32885.9,7,0,0
3604774,2256,819,0,0,69.4,16979.5,7,0,0
1102878,3767,1379,2,1,3655.0,41618.9,0,3,4828662
716663,2454,1361,2,4,26500.0,45236.7,1,0,0
351861,1195,1950,2,1,453.0,32680.6,0,5,17328250
2776190,9188,1028,2,4,2000.0,17899.2,1,0,0
10348,35,1500,2,1,1362.0,19151.7,0,7,99848401
1635709,5546,477,2,4,8900.0,37790.5,1,0,0
1096397,3747,1624,2,1,1500.0,10914.0,3,11,1665688
190798,648,1884,2,4,14.6,86101.7,6,0,0
587823,2001,1191,0,2,39102.0,78471.2,1,13,94522749
1004009,3426,1289,0,3,700.0,700.0,1,0,0
3636388,3210,1733,0,0,173.2,18783.0,7,0,0
3537139,201,1276,0,0,120.4,27967.2,7,0,0
1493521,5092,1550,2,4,14.6,6551.8,6,0,0
3439199,740,2068,0,0,81.3,23968.0,7,0,0
776340,2647,2048,0,3,300.0,109008.2,1,0,0
3563249,989,2190,0,0,76.3,18141.0,7,0,0
518659,1771,1368,2,4,14.6,28348.6,6,0,0
3464114,2915,1794,0,0,282.8,65359.2,7,0,0
840413,2861,576,2,4,14.6,19887.9,6,0,0
752168,2566,56,0,3,10700.0,11500.0,1,0,0
775224,2645,1803,2,1,631.0,32807.4,0,8,46016168
737700,2520,2051,0,2,3533.0,17312.9,1,1,22529095
329771,1124,1683,2,1,1030.0,95095.8,5,13,35057538
1978,8,1677,2,1,6712.0,36240.0,0,5,93210345
824415,2809,1672,2,4,14.6,26292.0,6,0,0
14403,47,1094,2,4,14.6,44368.2,6,0,0
268162,918,2127,0,3,27328.0,49521.2,1,0,0
699326,2393,1011,2,1,4292.0,26390.1,5,6,70831024
1134285,3876,1826,2,4,1800.0,28435.2,1,0,0
2106624,7133,1288,2,1,2683.0,16928.8,5,2,49628651
349955,1189,1199,0,2,3433.0,26942.5,1,10,3054506
3470415,4389,1976,0,0,116.5,31509.2,7,0,0
1060249,3624,2101,0,3,34231.0,55477.0,1,0,0
953432,3251,1771,0,2,3032.0,28248.9,1,9,86782341
3555485,759,484,0,0,99.2,26470.9,7,0,0
691172,2361,570,2,4,9000.0,30356.9,1,0,0
3604749,2256,58,0,0,12.9,5441.9,7,0,0
3455704,8759,637,0,0,284.4,93717.7,7,0,0
715096,2446,835,2,4,9800.0,27656.7,1,0,0
154592,518,2138,2,1,1338.0,17782.8,5,4,39075994
692774,2367,1272,2,4,6800.0,40373.3,1,0,0
938710,3203,1805,2,1,2111.0,19809.6,5,13,15327358
1602951,5442,272,2,4,14.6,37557.6,6,0,0
905017,3084,1422,0,3,18500.0,13523.6,1,0,0
638888,2179,1966,2,4,19200.0,94389.7,1,0,0
534613,1821,2078,0,3,20381.0,36558.9,1,0,0
3450920,4729,1641,0,0,25.7,20562.7,7,0,0
133399,446,525,2,4,21300.0,44782.0,1,0,0
1838308,6226,767,0,2,39862.0,100079.1,1,11,68360191
2347180,7745,2042,2,1,10160.0,39815.0,5,12,99381535
768269,2623,1481,2,4,2400.0,29238.8,1,0,0
232826,792,2051,2,1,485.0,30030.3,5,1,75295537
3623068,2800,1703,0,0,248.7,60842.4,7,0,0
1146470,3921,910,2,4,14.6,26145.1,6,0,0
1069450,3653,517,2,4,500.0,22524.8,1,0,0
94480,321,1389,2,4,800.0,33059.0,1,0,0
610557,2078,1208,2,4,8500.0,34951.8,1,0,0
316290,1079,516,1,4,13904.0,23367.9,1,0,0
2868215,9491,1472,2,4,3600.0,34426.4,1,0,0
3572841,1288,484,0,0,108.1,24871.5,7,0,0
894402,3049,825,0,3,500.0,24742.1,1,0,0
1176793,4035,1008,0,2,29880.0,74801.3,1,13,86406272
294507,1006,796,0,2,3737.0,35399.3,1,12,6088287
903368,3078,1894,2,1,2232.0,13545.3,1,6,30277490
969910,3306,675,0,3,11862.0,45159.1,1,0,0
239387,817,2051,2,1,4605.0,33731.4,5,4,53805935
622096,2122,1429,2,4,14.6,36411.6,6,0,0
1067711,3648,2068,2,4,14.6,25369.2,6,0,0
13183,44,1159,0,2,4200.0,20169.5,2,8,4120284
378673,1288,645,0,2,6059.0,30893.3,2,6,7797551
3468561,4103,1825,0,0,36.3,6870.7,7,0,0
1072599,3665,2118,2,4,8400.0,54788.9,1,0,0
2123421,7190,558,2,1,5394.0,29213.7,5,12,11074567
740692,2528,760,2,4,14.6,14039.6,6,0,0
3656905,3828,1915,0,0,56.4,13280.4,7,0,0
933513,3184,1285,2,1,3410.0,19098.4,5,8,29959482
965726,3290,1997,2,4,9600.0,77787.4,1,0,0
261417,895,1983,2,1,1454.0,14547.9,0,9,84034579
1018537,3479,1819,2,4,5400.0,49492.8,1,0,0
609282,2074,2073,0,3,23271.0,51989.4,1,0,0
849024,2893,1708,0,2,3382.0,22378.6,1,4,14506274
1307025,4463,2172,0,3,10904.0,30167.5,1,0,0
1158871,3968,2068,2,4,14.6,82046.4,6,0,0
480347,1637,1834,2,1,774.0,26439.3,5,6,47292917
3600042,2110,303,0,0,69.6,17193.1,7,0,0
257315,883,1319,0,3,16422.0,33884.5,1,0,0
907594,3092,1473,2,4,3500.0,21855.6,1,0,0
