trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1741,0,2,5693.1,31722.2,2,10,22866464
2037,2,4,14.6,22432.4,6,0,0
1825,2,4,14.6,67379.4,6,0,0
1907,2,4,1153.4,50802.5,1,0,0
379,2,1,6290.0,54226.7,8,5,25823378
1429,0,3,129.8,19824.6,1,0,0
1611,2,4,14.6,55288.5,6,0,0
1711,2,4,10378.9,74838.0,1,0,0
1399,0,3,30313.2,110675.4,1,0,0
1563,0,3,19366.6,76311.6,1,0,0
2109,2,4,14.6,60371.2,6,0,0
1863,0,3,13350.7,40929.4,1,0,0
1091,0,0,114.9,28856.0,7,0,0
1703,2,4,14.6,12654.7,6,0,0
2098,2,4,19052.2,35837.3,1,0,0
2014,2,4,2278.1,23868.4,1,0,0
1856,2,1,2313.7,61310.9,5,6,24283472
583,2,1,10485.6,27842.8,5,3,15152726
2156,2,1,3255.9,24324.1,0,9,23737168
1034,0,2,5845.7,17068.7,2,6,98360140
783,0,3,12027.8,38116.1,1,0,0
1106,2,4,14443.4,39482.2,1,0,0
1738,0,0,224.8,43760.2,7,0,0
1672,0,2,4802.8,29824.3,2,12,59442296
366,2,4,20267.3,47072.4,1,0,0
1519,2,5,2585.1,42149.8,1,0,0
2022,0,0,82.8,14134.2,7,0,0
2104,2,1,7861.7,34424.9,5,5,46730544
1882,0,3,694.4,33009.5,1,0,0
1435,2,4,4534.5,20496.7,1,0,0
2169,2,5,3598.4,62741.7,1,0,0
1297,2,1,7999.0,36548.1,5,5,72694400
1249,2,4,14.6,27484.3,6,0,0
1258,2,4,14.6,26092.9,6,0,0
896,0,3,5723.8,21326.1,1,0,0
1163,2,1,166.3,27746.5,0,8,48079724
2015,2,1,5308.2,67705.2,8,5,43671790
1491,2,4,14.6,30635.0,6,0,0
942,0,2,6021.8,31321.8,2,13,94829176
1610,1,4,3376.6,100269.3,1,0,0
938,2,4,2100.0,14725.2,1,0,0
1724,2,4,9648.6,52917.0,1,0,0
1915,0,0,56.4,13292.3,7,0,0
2059,2,4,14.6,21782.4,6,0,0
1580,2,1,4743.3,92149.9,0,3,7252186
1053,2,4,8458.8,43626.5,1,0,0
793,2,4,14.6,29110.3,6,0,0
549,2,4,808.5,20512.8,1,0,0
260,0,3,24243.5,62133.3,1,0,0
370,2,4,479.9,19436.0,1,0,0
1313,0,3,17686.7,63808.8,1,0,0
1246,2,4,14.6,70329.4,6,0,0
1196,0,0,119.7,33648.2,7,0,0
1272,0,2,3930.9,26083.0,2,8,14894045
2139,0,0,178.3,53400.4,7,0,0
1399,2,1,622.8,31658.4,5,11,0
1648,2,4,14.6,58120.9,6,0,0
1915,2,4,4688.0,17006.4,1,0,0
1063,0,3,2389.3,29717.8,1,0,0
1672,0,0,118.7,20294.1,7,0,0
1185,0,0,132.5,31315.2,7,0,0
746,0,0,159.5,42981.7,7,0,0
971,2,4,1200.0,42884.6,1,0,0
796,2,4,8863.6,42110.1,1,0,0
1224,0,0,127.6,29579.5,7,0,0
1473,0,3,7286.4,13106.7,1,0,0
1684,2,1,1919.9,14611.3,0,6,44561870
