trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
2110,2,1,5050.0,49562.5,5,8,48361708
283,2,4,2003.3,28539.6,1,0,0
647,0,3,3302.0,35596.1,1,0,0
1763,0,2,2968.3,21156.1,1,10,32054372
1806,2,4,61.4,44365.5,6,0,0
563,2,1,5315.6,37540.7,5,8,88573120
2017,2,1,5602.0,55076.3,5,8,72489496
2016,2,1,5387.0,25939.0,0,1,86165256
1126,0,3,24430.7,79094.1,1,0,0
1976,2,1,150.7,24181.0,5,12,89684770
1278,0,0,95.4,22339.8,7,0,0
1183,0,0,61.3,14065.7,7,0,0
1368,2,4,1827.1,32686.2,1,0,0
1835,2,4,866.0,30238.9,1,0,0
1051,0,0,117.0,24317.5,7,0,0
809,2,1,2361.3,23030.1,5,12,36981868
1129,2,4,8869.3,23810.4,1,0,0
586,2,1,2544.5,43757.7,8,4,0
1855,2,4,4255.2,36556.7,1,0,0
598,2,1,1257.4,20008.2,0,2,23316324
1831,2,4,8741.4,16005.7,5,0,0
1496,0,0,126.4,21052.5,7,0,0
1827,2,1,2933.6,5396.8,0,11,81114170
1831,2,1,2500.0,70821.9,8,11,50845630
745,2,4,4384.7,43916.5,1,0,0
2069,2,4,14.6,34912.4,6,0,0
1983,2,4,14.6,58161.6,6,0,0
1921,0,2,6053.9,62147.9,1,11,79897020
2050,0,3,251.2,18706.5,1,0,0
1996,0,3,911.2,7577.8,1,0,0
1275,2,4,14.6,31312.1,6,0,0
829,2,1,2005.0,86844.1,3,1,89891760
1270,0,0,142.9,37865.9,7,0,0
1764,0,3,24213.7,74052.7,1,0,0
1988,1,4,6354.7,82335.7,1,0,0
1528,0,0,146.2,37312.3,7,0,0
746,0,3,21282.3,76507.3,1,0,0
1987,2,1,6421.9,21365.1,8,6,9716538
2016,2,1,4476.3,31738.0,8,11,39966304
1292,2,1,1595.4,33961.4,5,11,28020914
1574,0,3,12687.5,41682.3,1,0,0
1404,2,4,14.6,22466.8,6,0,0
1825,2,4,4506.2,22437.2,1,0,0
792,0,0,297.2,50592.4,7,0,0
2168,2,1,377.5,16422.8,5,8,15200197
1625,0,0,129.9,26475.5,7,0,0
1433,2,4,14.6,48398.8,6,0,0
1307,2,4,14.6,52180.9,6,0,0
2169,2,1,1050.1,13909.1,3,13,34077750
674,0,3,11440.0,38331.4,1,0,0
2039,2,4,918.8,35235.7,1,0,0
134,0,3,23541.7,56645.8,1,0,0
1294,0,3,8309.5,30833.1,1,0,0
1474,0,0,202.3,51004.4,7,0,0
1490,2,4,14.6,25930.7,6,0,0
2077,2,1,2015.6,82582.2,0,13,20284170
727,1,4,25824.2,69234.5,1,0,0
854,0,0,213.5,37973.8,7,0,0
1388,2,4,1695.6,11196.1,1,0,0
1254,2,4,38295.2,38508.1,1,0,0
1093,2,1,2014.6,22706.0,5,4,78819870
1682,2,4,2210.0,57358.3,1,0,0
673,0,0,204.7,44481.9,7,0,0
1192,0,2,3364.0,32604.8,1,7,55274500
1733,0,3,17894.6,66994.7,1,0,0
2185,2,4,2763.2,70551.6,1,0,0
1185,2,4,3485.3,16060.6,1,0,0
738,2,4,4280.9,16709.1,1,0,0
1671,2,1,2099.6,16655.9,5,3,39260972
838,0,3,8573.8,27544.4,1,0,0
1883,2,4,14.6,12661.8,6,0,0
1455,0,0,273.6,89374.0,7,0,0
2150,0,3,19535.0,56559.7,1,0,0
1224,2,4,6362.6,22068.4,1,0,0
1276,2,4,26899.3,58701.9,1,0,0
1944,2,1,2358.4,29076.0,5,4,37700696
1578,2,4,2251.6,36961.4,1,0,0
1550,2,4,14.6,16865.6,6,0,0
