trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1896.8257,2,4,14.6,18706.754,6,0,0.0
1289.1865,2,4,14.6,55645.676,6,0,0.0
225.53749,2,4,8150.153,30073.664,1,0,0.0
2147.1592,2,1,3387.6233,28361.656,5,5,61703936.0
1867.0767,2,4,10328.527,42480.098,1,0,0.0
1810.4005,2,1,77.100716,10467.67,3,8,7327581.0
538.81824,2,1,1728.6348,29584.588,0,10,22745732.0
1952.1793,0,2,6498.693,39803.24,2,4,92552800.0
760.0,2,1,2093.2239,37116.977,5,13,30239250.0
1746.6841,0,3,7801.7397,98757.26,1,0,0.0
1888.9076,2,1,2005.3801,22015.346,1,11,27816876.0
487.7662,0,0,332.4798,56461.19,7,0,0.0
2134.6028,0,3,21562.592,105069.86,1,0,0.0
1399.0,0,0,127.62226,36221.05,7,0,0.0
2039.9708,2,1,1501.4425,35862.574,0,6,12581448.0
1915.0,2,4,12912.786,58357.777,1,0,0.0
1681.4238,2,1,199.15761,40331.11,3,12,21694968.0
1672.0,2,4,3329.1785,32019.486,1,0,0.0
1945.0,2,4,14.6,53841.555,6,0,0.0
1824.82,0,3,36403.96,101762.32,1,0,0.0
2037.0,2,1,1630.1157,43595.812,0,12,47350860.0
1915.0,2,4,14.6,41738.18,6,0,0.0
1199.6108,2,1,164.7722,15880.334,3,1,22966792.0
1399.0,2,1,3205.7253,57576.867,5,2,81785920.0
574.1361,2,4,3295.6865,16971.383,1,0,0.0
1829.6022,2,1,1200.0,32890.336,0,8,82720300.0
2100.901,0,3,45619.516,104804.23,1,0,0.0
2159.0,2,1,2900.0,31424.66,5,8,74538910.0
1915.0,2,4,4362.4307,35273.44,1,0,0.0
1317.8542,2,4,5481.82,16350.306,1,0,0.0
1993.7903,0,0,274.38446,44263.477,7,0,0.0
1978.5516,2,4,13491.017,30112.629,1,0,0.0
1503.7443,2,4,14.6,40170.98,6,0,0.0
1641.383,0,3,2281.3088,29119.766,1,0,0.0
2133.726,0,0,29.08678,13271.168,7,0,0.0
1740.7573,2,1,4555.5317,43162.793,3,9,2694485.2
2048.0999,1,4,3597.086,87777.72,1,0,0.0
2164.5427,2,4,10659.241,35067.098,1,0,0.0
1802.5391,0,0,199.89575,39589.176,7,0,0.0
1307.0,2,4,22568.92,25130.053,1,0,0.0
2074.5903,0,0,154.98239,39212.293,7,0,0.0
1921.097,0,0,118.74533,32234.363,7,0,0.0
1824.5035,2,4,14415.788,75984.14,1,0,0.0
454.0,2,4,1921.9365,22345.168,1,0,0.0
1940.6885,2,4,14.6,67588.29,6,0,0.0
283.47006,2,4,4228.3506,35046.023,1,0,0.0
1512.8219,2,4,14.6,22023.28,6,0,0.0
603.6635,0,2,44342.266,67319.01,1,8,43632060.0
1560.9297,2,4,14.6,13587.594,6,0,0.0
1920.2432,0,3,12896.91,24982.43,1,0,0.0
2129.0,2,1,6687.076,58171.633,5,10,12042247.0
1628.3192,2,4,41087.56,58838.746,1,0,0.0
1642.5459,0,3,23845.436,76909.75,1,0,0.0
1771.3395,2,4,14.6,27852.715,6,0,0.0
1491.0,0,0,109.3911,23690.945,7,0,0.0
1217.5055,0,3,24060.98,46854.496,1,0,0.0
2098.0,2,4,6494.8496,28043.459,1,0,0.0
1094.0,0,0,67.415504,18670.986,7,0,0.0
1793.385,2,1,1649.3096,18451.88,5,6,80262210.0
1673.0522,2,4,5202.5703,20693.303,1,0,0.0
1449.0262,0,2,5286.7563,23824.469,2,1,20314890.0
1951.5662,2,1,6945.7056,31076.498,5,6,0.0
1794.0,2,4,14.6,14149.038,6,0,0.0
1672.0,2,4,850.09106,23203.922,1,0,0.0
1185.0,0,0,259.3748,61992.895,7,0,0.0
1215.0,2,1,1759.9413,19101.979,5,13,83451750.0
862.78455,0,0,73.48088,18197.297,7,0,0.0
1437.8069,0,3,18971.453,32100.238,1,0,0.0
1276.0,0,3,22411.05,46424.84,1,0,0.0
2008.7242,2,4,18160.139,50111.953,1,0,0.0
1700.1399,2,4,14.6,37818.0,6,0,0.0
531.11786,2,4,81.82983,13013.548,1,0,0.0
1623.3645,0,3,2400.0,25877.957,1,0,0.0
419.26813,2,4,7871.3706,35063.363,1,0,0.0
2048.4526,0,0,112.56259,25650.62,7,0,0.0
1611.0,2,4,5115.7573,58049.098,1,0,0.0
1273.7496,0,2,47774.99,68579.82,1,13,36726136.0
814.28723,0,3,7480.538,20482.682,1,0,0.0
1064.347,2,1,2158.8823,21092.236,0,10,81052970.0
1550.0,0,0,144.51651,37219.98,7,0,0.0
1525.7928,2,4,41591.527,82280.63,1,0,0.0
576.0,2,1,5931.828,21717.41,5,10,82333910.0
360.46603,0,0,142.68274,34209.445,7,0,0.0
1733.0,2,1,6598.6665,26051.13,5,10,3519124.2
1139.7244,2,4,18313.514,110683.0,1,0,0.0
1289.6592,0,3,12471.81,36691.98,1,0,0.0
2165.6384,0,0,133.47903,25510.412,7,0,0.0
1901.1743,0,2,14105.162,34115.074,1,10,43573920.0
1429.0,2,1,11134.797,75024.42,5,7,54932520.0
1519.0,2,4,5501.101,73594.75,1,0,0.0
1550.0,2,4,14.6,77786.01,6,0,0.0
830.1729,0,2,7022.0845,43217.492,2,5,82111450.0
748.67706,0,3,3099.3933,35917.844,1,0,0.0
1672.0,2,4,3300.0,13956.773,1,0,0.0
1478.894,2,4,725.6334,17929.242,1,0,0.0
1611.0,2,1,800.0,24817.182,0,6,98309860.0
1703.0,0,2,3287.5095,20182.145,1,13,6648175.0
755.3202,2,4,4293.541,26996.725,1,0,0.0
637.0,0,2,3498.5234,21365.63,1,3,79913280.0
1929.5531,2,4,3382.7717,50995.207,1,0,0.0
1399.0,2,4,2669.5364,47370.066,1,0,0.0
1763.7258,2,4,930.3431,18929.615,1,0,0.0
1033.257,2,4,10259.666,54120.863,1,0,0.0
903.1207,0,2,5175.106,21790.508,2,3,93142700.0
1469.5491,0,0,192.94728,56067.258,7,0,0.0
2102.3794,0,0,84.1618,19800.318,7,0,0.0
2096.7124,2,4,3300.0,96442.164,1,0,0.0
1945.0,0,0,377.33334,78776.96,7,0,0.0
1272.4127,2,1,906.3092,10082.536,5,2,28140234.0
1307.0,0,2,6888.213,76987.82,2,4,12027173.0
1489.1436,0,2,5484.2637,14461.099,2,2,58167536.0
1091.3163,2,1,2908.5757,68056.74,0,4,55812410.0
2006.0,0,0,143.79732,34526.83,7,0,0.0
1564.0193,2,1,921.9616,19301.201,0,6,56426256.0
668.0,0,0,93.70169,22888.658,7,0,0.0
607.0,2,1,3472.4731,33545.47,5,1,59781100.0
1815.5316,2,4,6246.5454,41989.406,1,0,0.0
1395.6503,2,4,3976.7886,43148.227,1,0,0.0
1697.5017,0,3,22034.662,65816.87,1,0,0.0
1976.0,2,4,17348.969,52973.64,1,0,0.0
2069.0388,2,1,2640.669,13297.865,8,1,79447040.0
1238.8953,2,4,1600.0,22285.373,1,0,0.0
1501.5735,2,1,1296.9506,23631.633,5,9,79776060.0
1891.1838,0,0,170.72206,39950.87,7,0,0.0
1525.8661,2,4,14.6,22872.09,6,0,0.0
2173.3225,0,3,11430.92,49413.008,1,0,0.0
1834.2219,0,3,23299.674,81308.836,1,0,0.0
1588.3379,0,3,8742.556,27710.838,1,0,0.0
884.09436,2,4,14.6,16378.677,6,0,0.0
1733.0,2,4,14.6,89149.086,6,0,0.0
1945.0,2,1,4785.215,16544.082,0,3,68943340.0
1762.5055,0,0,141.91678,36626.918,7,0,0.0
1928.5432,0,2,3390.7798,25192.97,1,13,90478700.0
173.52261,2,4,16652.086,37063.957,1,0,0.0
1368.0,2,4,30942.027,63616.2,1,0,0.0
1438.3198,0,3,31011.367,103977.805,1,0,0.0
1494.5189,2,4,6880.025,80441.5,5,0,0.0
1467.0071,0,3,19899.574,79457.01,1,0,0.0
2190.0,0,0,135.03575,43108.066,7,0,0.0
1717.1805,2,4,1500.8304,46123.58,1,0,0.0
1997.4841,2,4,13149.65,52023.055,1,0,0.0
979.82983,0,3,24122.055,28307.578,1,0,0.0
980.07324,0,2,21385.783,31012.926,1,13,89984650.0
1074.7526,2,4,14.6,27482.186,6,0,0.0
1254.5023,2,1,4177.73,49958.8,5,13,26703466.0
858.608,0,3,15199.706,39762.094,1,0,0.0
1838.025,2,4,14.6,42855.367,6,0,0.0
734.0091,0,3,318.8123,44780.77,1,0,0.0
607.1282,2,4,14.6,50094.754,6,0,0.0
1856.0,0,0,195.22258,54367.234,7,0,0.0
1529.5135,2,4,89.942116,27783.229,6,0,0.0
1487.2742,2,1,1905.3894,16062.12,1,8,9952836.0
466.09067,2,1,146.07153,34407.203,0,5,16886432.0
880.4173,0,2,4449.8716,22243.03,2,10,87151624.0
2098.0,0,3,23094.62,47540.305,1,0,0.0
1888.0219,0,0,68.577866,17078.936,7,0,0.0
1799.1382,2,4,3566.903,31661.47,1,0,0.0
1856.0,2,4,21052.547,47293.934,1,0,0.0
1855.4075,2,4,17436.799,25886.736,1,0,0.0
1629.2814,2,1,10817.849,29392.994,8,1,72804410.0
765.6582,2,1,4122.805,11091.956,5,1,95839170.0
1478.6881,2,4,14.6,19612.707,6,0,0.0
1794.7795,2,1,945.335,18509.404,5,2,92100820.0
1611.0,0,3,32120.154,90771.375,1,0,0.0
1590.2621,0,3,7220.8936,24608.336,1,0,0.0
1773.4171,2,1,215.81125,32674.139,0,2,98806880.0
775.49396,2,1,3490.9917,22259.053,5,5,32529980.0
2123.8313,2,4,1292.5856,61523.285,1,0,0.0
1770.8872,2,4,3878.225,105023.234,1,0,0.0
1002.0,2,1,900.6796,17852.666,5,12,41706604.0
355.6202,2,4,2917.6028,16599.936,1,0,0.0
1653.7897,2,1,2100.0,61074.676,5,5,59409744.0
1593.5435,0,3,34773.582,86722.33,1,0,0.0
332.6132,0,3,4555.836,27709.031,1,0,0.0
1682.9467,2,1,500.0,65506.246,0,3,86388580.0
954.9245,0,0,107.77116,32967.77,7,0,0.0
1166.9209,2,4,14.6,30466.754,6,0,0.0
1338.0,2,1,1978.433,27413.912,5,11,13452330.0
1683.035,2,4,14.6,43137.523,6,0,0.0
1992.8649,2,1,62.841522,31554.508,0,5,55785560.0
1703.0,0,0,176.76318,49709.207,7,0,0.0
1824.3905,2,1,1569.1508,44046.902,0,11,17680650.0
1185.0,2,4,14.6,33815.227,6,0,0.0
1856.0,0,0,99.79906,18301.916,7,0,0.0
1373.4891,2,1,9597.313,54715.344,5,3,5628181.0
1345.6084,0,2,3264.915,21947.248,1,1,94124230.0
1699.0221,0,2,5701.4473,23470.947,2,7,32140596.0
1488.4946,0,2,44819.49,88875.52,1,12,1254992.1
2098.0,2,4,803.4788,72000.18,1,0,0.0
1338.0,2,4,14.6,41388.406,6,0,0.0
2108.9583,1,4,9252.05,49431.668,1,0,0.0
1945.0,2,4,8069.7007,32692.832,1,0,0.0
1460.0,0,0,157.99814,31543.316,7,0,0.0
