trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
373263,1271,2166,0,3,9288.0,25670.2,1,0,0
998340,3408,411,2,4,21600.0,42270.5,1,0,0
921806,3142,922,0,2,6029.0,31095.3,2,8,10931772
920410,3136,1072,2,1,3489.0,49581.0,0,11,29040438
598772,2038,1281,0,3,5463.0,35858.6,1,0,0
429584,1458,668,2,4,14.6,36233.5,6,0,0
3327599,11054,1839,2,4,6900.0,49113.2,1,0,0
3627395,2930,2098,0,0,307.6,82441.1,7,0,0
485106,1652,1339,2,4,3800.0,16349.6,1,0,0
310446,1057,1976,2,4,14.6,22127.6,6,0,0
2415542,7966,1794,2,4,14.6,24828.3,6,0,0
589442,2007,2160,0,3,34904.0,92315.7,1,0,0
730308,2496,2006,2,4,14.6,18244.1,6,0,0
846129,2881,1528,2,1,4639.0,34087.0,5,13,90429490
775330,2645,651,2,1,1010.0,34215.1,0,10,91531282
886518,3021,1535,2,4,3600.0,25471.0,1,0,0
1047804,3583,1246,2,4,14.6,26383.6,6,0,0
931793,3177,1921,2,4,3100.0,36978.7,1,0,0
1195481,4093,576,2,4,14.6,23406.4,6,0,0
1144759,3915,871,2,4,12800.0,42811.1,1,0,0
691138,2361,1276,2,4,14.6,22535.8,6,0,0
426551,1449,2013,2,1,320.0,35456.6,0,11,17508918
3505907,8972,1460,0,0,190.1,38764.4,7,0,0
1083193,3699,1118,2,4,720.0,29595.3,1,0,0
3542797,368,1641,0,0,101.6,15570.4,7,0,0
297227,1013,2068,2,4,14.6,20793.0,6,0,0
312555,1066,1803,2,4,23000.0,66110.0,1,0,0
672871,2298,1649,2,1,4550.0,41438.1,5,11,63721817
463843,1578,1483,2,4,560.0,32105.7,1,0,0
2135586,7231,1062,0,3,9100.0,21125.8,1,0,0
3466520,3569,1519,0,0,120.7,41459.8,7,0,0
244955,841,705,0,2,5772.0,27161.2,2,11,15798580
1135371,3880,1618,2,1,1942.0,32738.5,5,2,74985646
435423,1479,1276,2,4,14.6,27237.2,6,0,0
419786,1423,1220,2,1,1213.0,21004.6,0,5,50862812
569872,1939,1512,1,4,9873.0,27710.5,1,0,0
940850,3212,1990,0,2,3484.0,63908.5,1,3,81040405
133014,445,2159,2,4,12800.0,15976.9,1,0,0
3543086,382,1733,0,0,96.4,24092.2,7,0,0
496058,1691,1620,2,1,720.0,13594.5,5,3,22764325
121629,408,673,2,4,960.0,24444.1,1,0,0
505699,1726,637,2,4,14.6,30361.2,6,0,0
3251822,10799,2049,2,1,519.0,44743.1,8,11,80825555
891409,3038,1963,2,4,6600.0,64669.4,1,0,0
1051040,3594,1368,2,4,14.6,63134.3,6,0,0
1146503,3921,1915,2,4,14.6,45487.5,6,0,0
2779785,9199,1890,2,4,12500.0,16562.1,1,0,0
3644022,3442,1276,0,0,2.4,17627.4,7,0,0
329534,1123,694,2,4,5400.0,34484.1,1,0,0
1425861,4858,2156,1,4,4528.0,17035.6,1,0,0
3534834,127,1856,0,0,59.5,14334.7,7,0,0
398679,1357,1923,0,3,100.0,43549.0,1,0,0
605539,2061,698,2,4,14.6,16275.5,6,0,0
607564,2068,1625,2,1,1405.0,14131.7,0,12,6661606
3614153,2532,1550,0,0,232.5,62446.6,7,0,0
698633,2389,1698,2,4,20100.0,36825.1,1,0,0
1266694,4332,2045,2,1,7885.0,22083.1,5,4,21178984
3317966,11021,1550,2,4,14.6,72816.5,6,0,0
735712,2513,923,2,1,2655.0,23815.3,5,13,17385280
397709,1353,621,0,3,16136.0,52462.4,1,0,0
228733,776,1684,2,1,170.0,57728.6,3,5,79007082
3552820,679,1703,0,0,57.9,20585.9,7,0,0
611760,2083,1786,2,4,13900.0,21657.7,1,0,0
3512584,9560,1825,0,0,369.2,28445.4,7,0,0
714118,2441,1834,2,1,785.0,47268.7,3,10,13103747
3467931,3983,941,0,0,45.4,17529.9,7,0,0
17564,59,1320,0,3,900.0,37353.9,1,0,0
703321,2410,1950,2,1,3410.0,63909.6,5,3,6188935
643223,2197,2098,2,4,14.6,55116.4,6,0,0
958358,3265,1449,0,3,20345.0,106017.4,1,0,0
569038,1937,468,2,1,2933.0,18819.4,5,5,67964726
56700,189,1990,2,1,4244.0,24668.8,5,4,54808670
1305008,4456,1945,2,4,14.6,53333.1,6,0,0
790412,2695,1891,2,1,3923.0,62620.9,5,10,45832115
953159,3250,2137,0,2,5690.0,16898.5,2,10,75094973
1136188,3882,1635,2,4,630.0,18174.5,1,0,0
2279349,7520,2083,2,4,13100.0,-9196.8,1,0,0
465248,1583,1259,1,4,13312.0,22523.1,1,0,0
866755,2951,1134,2,1,743.0,44853.8,5,13,2752936
3613231,2508,1825,0,0,72.5,17724.6,7,0,0
3558879,867,2068,2,4,4.0,-505.7,4,0,0
783908,2671,1805,2,4,270.0,31802.4,1,0,0
438989,1492,1703,2,4,14.6,15745.9,6,0,0
133585,447,1982,2,1,5554.0,44485.6,5,4,35721868
3612932,2501,1915,0,0,257.5,61397.1,7,0,0
1215533,4161,1381,0,3,11171.0,47933.3,1,0,0
276247,945,2006,2,4,14.6,40043.2,6,0,0
215482,731,1672,2,4,14.6,16569.6,6,0,0
3634651,3151,1794,0,0,282.1,71049.5,7,0,0
575902,1961,2083,2,4,2160.0,13942.1,1,0,0
243152,833,1758,2,4,1040.0,15271.7,1,0,0
959207,3268,885,0,2,3420.0,18724.8,1,4,63548433
941498,3213,2011,0,2,3068.0,18797.4,1,3,66762119
334236,1136,1382,2,1,6249.0,54703.0,5,13,58973252
650702,2223,1773,0,2,4396.0,16568.0,2,2,18973642
823283,2804,1531,0,3,6263.0,37470.7,1,0,0
1372472,4681,1920,2,1,4515.0,27894.0,0,8,30791741
920472,3136,731,2,4,2100.0,25792.5,1,0,0
3533895,102,1002,0,0,189.2,32209.9,7,0,0
3537945,225,242,0,0,11.0,16389.0,7,0,0
1136570,3883,346,2,4,2700.0,24900.2,1,0,0
3657641,3849,819,0,0,154.4,38683.9,7,0,0
993389,3389,2112,2,1,4882.0,83898.7,5,5,52682036
1100684,3759,992,2,4,3100.0,19544.1,1,0,0
933780,3185,2172,2,1,6404.0,51766.5,5,1,90867876
815365,2777,2084,0,3,2800.0,24200.0,1,0,0
1694830,5742,1033,2,4,100.0,94277.2,6,0,0
1124513,3840,1680,2,1,2559.0,30210.5,5,2,87679588
706079,2418,1667,2,4,10300.0,33935.9,1,0,0
36706,118,1902,2,4,1260.0,31835.6,1,0,0
413740,1406,708,2,1,458.0,17514.0,0,2,43622702
957409,3261,1443,2,4,3680.0,48551.1,1,0,0
676811,2313,157,0,2,17370.0,34493.6,1,2,38014137
741269,2530,2080,2,1,3698.0,44076.0,3,4,66858243
580977,1977,1878,2,4,200.0,19972.7,1,0,0
159753,535,789,2,4,2000.0,34007.4,1,0,0
342039,1161,347,0,2,5921.0,32096.9,2,3,63046806
3451689,5343,1491,0,0,15.3,-1563.5,7,0,0
454295,1544,857,0,3,18950.0,53293.8,1,0,0
2023297,6856,1893,2,1,6965.0,29894.1,3,12,70674234
914069,3115,1193,0,2,32120.0,32820.0,1,10,41944837
